Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
13	92	5.96e-08	7.22	6.32	-30	-60	-6	-29.3	-55.5	-7.47	111	-27	-60	-9	64.6
12	91	5.96e-08	7.22	5.87	27	-63	-6	26.7	-53.3	-9.52	109	27	-60	-6	67.5
11	58	1.42e-05	4.85	4.51	48	-18	0	58.2	-11.9	-0.451	94.6	63	-6	3	54.8
10	51	5.01e-05	4.3	4.46	33	-3	3	30.6	-4.89	4.05	65.7	33	-3	3	51.6
9	41	0.000338	3.47	4.65	-54	-6	0	-51.4	-5.97	0.644	90.4	-48	-6	0	63.2
8	39	0.000504	3.3	4.61	-60	-18	21	-59	-16.8	17.8	94.8	-63	-21	15	58.6
7	37	0.000757	3.12	5.17	48	-75	-12	47.8	-76	-13.2	81.9	48	-75	-12	54.9
6	26	0.00819	2.09	4.7	21	24	63	22.9	24.7	60.7	98.7	21	24	63	63.9
5	21	0.0268	1.57	4.82	36	-57	-21	33.4	-55.7	-20.2	108	36	-60	-21	72.8
4	20	0.0342	1.47	4.19	-12	-96	-3	-9.3	-98.3	-2	71.9	-3	-96	-6	53.2
3	20	0.0342	1.47	3.87	51	-27	27	55.2	-26.1	29.6	73.7	51	-30	27	49.6
2	20	0.0342	1.47	3.8	9	-51	36	7.08	-49.5	35.7	74.4	6	-51	33	66.6
1	20	0.0342	1.47	3.91	15	-102	18	18.3	-101	15.1	57.1	15	-99	18	43.8
