Cluster Index	Z	x	y	z	
21	9.25	-18	-18	66
21	8.49	-30	-24	57
21	8.07	-9	0	54
21	7.91	12	-6	75
21	7.57	15	3	72
21	7.38	-30	-24	66
20	9.8	-24	-102	12
20	9.66	-24	-90	9
20	8.53	-6	-102	0
20	8.01	-30	-93	21
20	5.97	-24	-90	-15
20	5.81	-24	-93	27
19	7.18	24	-45	-18
19	5.99	6	-60	-12
19	5.31	27	-54	-18
19	5.3	42	-51	-30
19	5.27	6	-63	-33
19	5	33	-54	-27
18	9.01	24	-99	12
18	7.71	27	-90	9
18	7.07	21	-93	30
17	8.09	24	-99	-12
17	4.38	39	-93	-15
16	5.31	3	-21	-12
16	5.1	-9	-27	-12
16	4.95	6	-15	3
16	4.61	-9	-15	0
16	4.6	0	-30	-3
16	4.21	12	-12	-9
15	5.94	-51	3	3
15	5.86	-48	0	9
15	5.82	-57	6	3
15	4.67	-36	0	6
15	3.72	-36	9	3
15	3.42	-30	3	-3
14	5.81	48	-3	48
14	5.34	54	3	42
14	4.47	39	-12	57
14	4.45	60	6	48
14	4.04	36	-3	45
13	4.23	42	-66	6
13	4.05	45	-54	6
13	4.03	51	-78	15
13	3.8	48	-72	6
13	3.72	57	-75	12
13	3.49	48	-63	12
12	7.26	36	-69	-12
12	5.34	45	-75	-12
11	5.22	51	-45	27
11	3.82	51	-33	30
10	5.34	-54	-21	24
10	4.34	-45	-27	18
10	3.99	-36	-30	24
9	5.42	51	6	0
9	4.5	39	6	3
8	4.27	30	-66	33
8	4.19	33	-66	27
8	4.05	24	-60	42
8	3.87	21	-69	33
7	4.57	21	9	-6
7	4.22	18	0	-3
6	7.23	63	9	12
6	3.99	54	9	12
5	4.97	-36	-54	-30
4	4.91	39	36	27
3	4.22	33	27	0
3	3.67	42	27	9
2	4.7	-9	-72	-15
1	5.41	36	-42	42
