Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
21	1208	0	45.6	9.25	-18	-18	66	-15.7	-11.9	59.8	180	3	3	54	59.4
20	603	8.6e-29	28.1	9.8	-24	-102	12	-20.2	-95.9	5.13	174	-30	-96	3	52.8
19	340	2.51e-19	18.6	7.18	24	-45	-18	18.9	-53.6	-22.2	110	21	-45	-15	56.3
18	259	5.95e-16	15.2	9.01	24	-99	12	23.7	-95	15.6	131	18	-93	33	45.1
17	154	5.56e-11	10.3	8.09	24	-99	-12	23.3	-94.9	-9.82	130	21	-99	-12	47.8
16	143	2.11e-10	9.68	5.31	3	-21	-12	-0.316	-20.7	-3.98	100	0	-33	0	59.6
15	103	5.96e-08	7.22	5.94	-51	3	3	-45.7	2.17	5.85	107	-57	6	0	62.5
14	69	5.25e-06	5.28	5.81	48	-3	48	48.5	-1.55	47.7	125	51	-3	54	47.7
13	67	7.15e-06	5.15	4.23	42	-66	6	48.9	-64.1	8	80.5	51	-75	15	41.4
12	65	9.83e-06	5.01	7.26	36	-69	-12	38.4	-70.9	-12.5	99.3	36	-69	-12	48.6
11	58	3.06e-05	4.51	5.22	51	-45	27	52.4	-43	26.3	127	51	-45	27	67.3
10	54	5.99e-05	4.22	5.34	-54	-21	24	-48.4	-24	21.9	121	-57	-21	21	60
9	52	8.43e-05	4.07	5.42	51	6	0	46.5	7.01	1.25	81.6	48	6	0	59.7
8	50	0.000119	3.92	4.27	30	-66	33	28.8	-66.4	33.3	74.2	30	-66	33	49.2
7	33	0.0028	2.55	4.57	21	9	-6	20.7	4.97	-4.61	73.2	21	9	-6	51
6	26	0.0119	1.92	7.23	63	9	12	59.9	8.35	13	86.3	63	9	12	47.8
5	25	0.0148	1.83	4.97	-36	-54	-30	-36.9	-54.2	-31.5	87.2	-39	-54	-30	55.3
4	25	0.0148	1.83	4.91	39	36	27	36.8	33.5	26.2	89.1	36	36	27	62.7
3	23	0.023	1.64	4.22	33	27	0	35.9	26.8	4.17	80.6	33	27	0	53.4
2	23	0.023	1.64	4.7	-9	-72	-15	-8.18	-73.9	-15	57.9	-9	-72	-15	45.6
1	23	0.023	1.64	5.41	36	-42	42	38.3	-40.9	42	110	36	-42	42	66.4
