Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
11	1053	8.16e-20	19.1	6.68	-51	3	-24	-36.5	4.81	-21.6	181	-27	6	-39	55.5
10	851	5.57e-17	16.3	7.43	54	51	-15	43	15	17.4	133	51	51	-12	41.6
9	499	2.03e-11	10.7	6.98	-18	-48	-24	-1.1	-63.4	-8.53	111	0	-63	12	46
8	434	2.92e-10	9.54	4.91	9	54	15	-9.43	49	10.4	93.4	0	63	15	35.2
7	428	3.75e-10	9.43	6.44	54	6	-33	47.3	0.302	-26.4	142	39	12	-18	49.8
6	302	1.19e-07	6.92	6	-60	33	18	-52.4	30.2	15	88.4	-54	48	0	37.3
5	174	7.51e-05	4.12	5.74	-36	-84	-45	-28.2	-83	-44	168	-39	-81	-39	68.8
4	126	0.00133	2.88	6.02	42	-18	45	44.5	-17.2	43.1	65.2	39	-18	45	31
3	115	0.00269	2.57	3.87	18	42	9	6.67	39.7	2.85	75.5	0	36	-3	34.3
2	115	0.00269	2.57	5.39	-18	-54	-54	-7.88	-51.4	-50.1	81.4	0	-54	-51	47.2
1	83	0.0241	1.62	4.33	-18	36	36	-23.1	30.4	40.5	37.5	-33	24	48	21.3
