Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
18	251	2.04e-15	14.7	5.09	-21	-96	-9	-25.9	-94.1	-0.535	115	-21	-93	-18	51.9
17	196	6.42e-13	12.2	5.96	-33	-48	-18	-42.5	-60.4	-12.6	112	-48	-57	-12	54.4
16	191	1.11e-12	12	5.09	-45	-6	48	-38.9	-22	57.9	99	-42	-18	63	47.4
15	136	6.6e-10	9.18	5.46	3	-15	66	-2.5	-12.1	60.5	121	0	-15	66	62.7
14	87	4.17e-07	6.38	5.6	-30	-72	30	-27.5	-74.2	29.5	86.4	-30	-72	30	47.6
13	86	4.77e-07	6.32	5.22	27	-57	51	25.4	-59.4	47.3	102	27	-57	54	55.7
12	51	0.000115	3.94	5.8	33	-72	24	31.7	-73.5	25.9	93.2	33	-75	24	52.2
11	51	0.000115	3.94	5.23	42	-3	48	39.4	-4.15	48.8	75.2	42	-3	48	46.7
10	48	0.000193	3.71	4.89	-48	-15	12	-47.1	-23.8	16	102	-48	-15	12	69.5
9	47	0.00023	3.64	4.18	36	9	42	38.4	7.35	33.2	90.4	39	6	30	53.7
8	47	0.00023	3.64	5.03	54	-36	-18	56.5	-38.5	-16.7	75.4	54	-36	-18	48.4
7	44	0.000392	3.41	4.15	45	-72	-15	45.5	-69.8	-7.04	109	45	-66	-3	69.8
6	43	0.000469	3.33	5.25	-24	-54	48	-27.5	-55.1	51.1	117	-33	-60	63	49.1
5	42	0.000562	3.25	4.6	-36	18	27	-42.9	12.8	30.2	94.2	-51	9	30	65.5
4	38	0.00118	2.93	5.79	-33	-39	45	-37	-39.4	45	73.4	-36	-39	45	44.3
3	33	0.00309	2.51	4.29	48	-36	48	47.4	-35.9	47.3	69.1	48	-39	51	49.8
2	26	0.013	1.89	4.23	48	-54	-18	49.5	-54.6	-16.8	85.4	45	-57	-21	55.5
1	20	0.0485	1.31	4.64	6	69	6	7.01	67.5	8.67	159	0	66	12	110
