Cluster Index	Z	x	y	z	
5	6.14	-6	-15	21
5	5.56	33	-48	6
5	5.24	-15	-33	21
5	5.05	27	-54	30
5	4.97	-18	-39	18
5	4.96	12	-24	24
4	4.15	12	-33	-45
4	4.13	36	-33	-39
4	4.06	18	-33	-51
4	4.03	-12	-24	-48
4	3.98	21	-51	-60
4	3.74	27	-30	-45
3	5.78	69	-33	33
3	5.12	72	-15	-3
3	4.97	69	-24	15
3	3.54	72	-27	-6
3	3.48	69	-21	24
2	4.76	-36	-6	-39
2	4.22	-60	0	-39
2	3.84	-36	-12	-39
2	3.61	-54	6	-48
2	3.46	-48	-3	-39
2	3.37	-36	12	-42
1	5.36	-36	63	-15
1	4.84	-48	42	-15
1	4.81	-54	45	-15
1	4.61	-48	45	-21
1	4.34	-39	54	-18
1	4.12	-30	66	-18
