Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
9	10742	0	100	10.1	28	9	28	36.1	24	27.6	792	34	18	40	151
8	1317	1.13e-23	22.9	7.48	20	31	50	22.5	38.8	45.7	638	33	45	43	156
7	458	6.88e-11	10.2	7.94	11	37	33	12.7	32.6	31.4	509	12	37	32	154
6	315	5.96e-08	7.22	6.32	15	44	26	17.6	46.8	27	455	16	47	24	155
5	302	5.96e-08	7.22	4.83	24	47	23	26.9	43.2	25.7	424	29	44	21	151
4	299	5.96e-08	7.22	5.95	33	34	35	32.5	36.5	35.2	724	32	35	35	194
3	278	2.38e-07	6.62	6.17	41	57	20	40.9	58.6	20	273	43	65	22	117
2	181	4.08e-05	4.39	5.38	25	60	19	24.9	55.5	18.5	261	25	54	19	115
1	173	6.46e-05	4.19	5.95	21	60	39	16.4	57.2	33	205	14	56	29	105
