Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
8	1148	1.84e-21	20.7	8.37	26	39	48	27.9	40.6	46.7	174	37	43	52	60.4
7	594	2.95e-13	12.5	6.09	38	12	23	40.3	22.2	20.1	151	39	11	23	56.4
6	375	2.5e-09	8.6	6.7	24	14	29	25	12.6	27.7	166	22	12	28	56.7
5	330	1.96e-08	7.71	6.17	41	15	29	41.5	15.1	30.5	121	38	13	37	42.6
4	105	0.00457	2.34	4.15	29	57	44	27.9	58.1	42.7	103	27	58	43	55.3
3	98	0.00741	2.13	4.82	49	30	35	50.1	30.5	35.6	120	49	30	35	59.8
2	77	0.0338	1.47	4.44	13	47	19	12.7	44.4	19.7	101	13	47	19	42.2
1	74	0.0423	1.37	5.38	53	47	30	49.7	46.3	28.7	89.3	48	46	26	49.3
