Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
12	1630	2.6e-24	23.6	9.28	30	-90	-6	27.2	-69.7	-8.81	176	33	-93	-6	35.8
11	966	1.06e-16	16	6.19	-51	27	-27	-40.9	0.0962	-25.8	128	-27	6	-39	43.6
10	672	8.75e-13	12.1	8.69	-39	-72	-15	-43	-73.2	-6.28	144	-42	-75	-18	39.5
9	503	2.86e-10	9.54	6.54	48	15	-33	45.5	5.34	-30	108	39	12	-18	42
8	263	3.93e-06	5.41	5.68	-39	6	27	-40.6	1.77	34.3	71.7	-39	6	27	26.7
7	247	8.17e-06	5.09	7.59	-27	-69	33	-29.9	-60.7	37.6	101	-24	-69	36	31.1
6	234	1.48e-05	4.83	4.62	-3	-39	-54	4.44	-47.5	-46.8	63.7	3	-57	-48	30.3
5	227	2.06e-05	4.69	7.35	39	-6	48	42.2	3.15	33.7	74.1	42	6	24	31.9
4	120	0.0052	2.28	4.49	-6	-6	12	0.0189	-1.74	10.5	125	-9	-3	15	59.3
3	110	0.00935	2.03	4.71	24	-81	-57	33.2	-73.5	-55.6	117	42	-75	-57	32.8
2	109	0.00992	2	4.95	3	60	15	0.448	58.9	19.6	92.9	0	63	15	39.3
1	87	0.0384	1.42	4.87	-21	-99	6	-21.1	-99.6	1.16	73.8	-21	-99	-12	41.8
