Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
12	3603	0	49.5	5.56	-48	-78	12	-16.5	-55.2	7.39	217	-18	-24	-21	45.1
11	356	1.95e-09	8.71	4.22	30	-6	-18	37.5	-50.4	-19.4	139	30	-30	-27	49.7
10	327	7.93e-09	8.1	5.7	48	27	-27	51.4	6.8	-20.6	150	36	15	-24	52.3
9	266	1.79e-07	6.75	4.76	-15	-24	42	-2.86	-10.5	37.3	123	-9	-9	18	45.5
8	240	7.15e-07	6.15	5.02	-30	72	-6	-8.72	57.8	-8.58	192	0	57	-9	58.4
7	217	2.5e-06	5.6	4.87	-12	30	0	-4.84	17.6	-4.21	262	-3	12	3	82.2
6	165	5.39e-05	4.27	4.85	0	60	21	-3.43	60.8	17.6	160	3	69	12	52.2
5	148	0.000157	3.8	5.5	-48	27	-30	-51.9	16.9	-28.5	155	-45	15	-33	56.1
4	132	0.000445	3.35	4.44	-63	24	12	-60.2	23	17.7	113	-63	27	12	47.2
3	116	0.00132	2.88	4.07	-33	-81	-60	-28.2	-87.9	-44.7	110	-21	-90	-39	65.3
2	84	0.0136	1.87	4.32	-30	-6	51	-34.1	-11.6	44.8	39.4	-30	-6	51	21.3
1	69	0.0442	1.35	3.9	33	-48	-48	42.2	-50.6	-43.7	133	36	-45	-48	53.7
