Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
22	937	1.72e-33	32.8	5.9	30	40	41	30.2	38.1	44.8	205	29	35	53	80.7
21	716	7.64e-28	27.1	6.74	54	28	37	43.2	29.4	25.4	229	31	31	23	79.8
20	503	8.2e-22	21.1	6.96	17	40	24	15.4	36	31.7	217	13	32	33	87.2
19	319	7.3e-16	15.1	5.62	37	22	49	29.3	23.2	41.9	207	36	22	49	85.5
18	254	1.69e-13	12.8	5.34	47	16	35	44.7	21.5	32.8	188	43	17	40	67
17	160	1.12e-09	8.95	5.03	48	45	30	48.4	43.4	24.3	179	45	44	27	77.4
16	87	3.81e-06	5.42	4.66	16	51	28	19.8	51	28.7	122	22	51	29	73.1
15	75	1.76e-05	4.75	4.5	41	37	46	40.4	35.2	46	133	40	35	47	77.3
14	66	5.87e-05	4.23	4.48	26	19	9	24.6	20.6	11	94.2	26	19	14	70.3
13	47	0.000906	3.04	5.38	43	58	41	42.8	57.5	40.8	126	43	57	41	62.7
12	45	0.00123	2.91	4.04	37	18	41	37.9	19.2	43.2	156	39	19	44	94.9
11	36	0.00522	2.28	4.75	16	25	45	15	27.8	43.2	198	18	25	45	108
10	30	0.0146	1.84	4.3	24	15	26	20.6	16.1	25.2	161	19	17	24	82.3
9	30	0.0146	1.84	4.05	53	45	34	51.5	46.8	35.7	87.8	51	49	37	67.2
8	28	0.0208	1.68	5.15	31	59	26	31.5	59.1	27.1	173	32	58	25	116
7	28	0.0208	1.68	4.17	47	26	19	45.2	27.5	18.8	182	47	25	19	122
6	28	0.0208	1.68	4.95	14	44	37	14	44	37.3	139	13	45	37	85.5
5	27	0.025	1.6	5.56	20	31	11	21	30.5	10.6	124	20	30	11	93.2
4	26	0.03	1.52	4.4	44	41	25	44.1	38.2	24.8	101	44	36	27	66.4
3	26	0.03	1.52	4.91	27	40	19	25.6	38.9	20	163	26	38	19	106
2	25	0.036	1.44	3.99	22	53	22	22.3	53.1	21	96.4	24	54	20	59
1	25	0.036	1.44	4.09	19	56	36	19.1	55.7	34.3	85.6	18	56	32	65.9
