Cluster Index	Z	x	y	z	
8	5.03	12	-36	57
8	4.43	18	-36	84
8	4.41	-9	-42	78
8	4.23	-3	-30	81
8	3.98	6	3	63
8	3.98	-9	-36	84
7	4.29	-69	-54	6
7	4.04	-63	-57	6
7	3.96	-36	-96	3
7	3.91	-39	-81	-12
7	3.81	-42	-81	-3
7	3.76	-45	-66	18
6	4.25	-30	-93	30
6	3.76	-3	-99	18
6	3.61	-24	-78	36
6	3.38	-30	-87	45
6	3.34	-18	-90	45
6	3.31	-24	-84	24
5	4.45	-36	6	60
5	3.87	-39	-3	60
5	3.47	-51	-12	60
5	3.32	-33	-9	39
5	3.32	-48	-6	60
5	3.17	-33	6	42
4	3.98	66	-57	30
4	3.62	72	-24	36
4	3.54	69	-27	27
4	3.45	66	-42	33
4	3.34	57	-54	27
4	3.1	63	-36	45
3	4.93	-54	-39	36
3	3.98	-69	-42	24
3	3.94	-54	-45	27
3	3.41	-69	-54	24
3	2.84	-48	-45	48
3	2.71	-66	-48	33
2	3.41	54	-21	-6
2	3.17	42	6	6
2	3.12	51	-3	-18
2	3.12	54	-18	6
2	3.03	57	0	-9
2	2.98	51	-3	-12
1	3.46	18	-75	-3
1	3.08	18	-66	3
