Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
17	3227	0	63.5	9.34	-42	-84	-12	7.77	-72	-1.31	809	48	-45	57	211
16	3016	0	60.6	7.49	-39	-3	60	-29.2	4.73	32.9	772	3	27	39	254
15	499	6.09e-18	17.2	5.96	36	21	3	34.5	14.5	2.01	553	39	24	0	254
14	393	3.46e-15	14.5	5.96	-48	-45	12	-56.6	-48.5	5.58	445	-48	-48	12	194
13	373	1.22e-14	13.9	6.3	51	18	36	42.7	23.7	38.9	584	42	3	57	257
12	247	6.18e-11	10.2	6.35	45	-42	9	52.2	-35	3.37	455	48	-42	15	218
11	206	1.34e-09	8.87	6.08	45	48	0	41.1	50.3	0.47	567	45	48	0	278
10	140	2.98e-07	6.53	5.55	0	-30	27	0.291	-25.2	29.2	476	0	-30	30	227
9	42	0.0081	2.09	4.32	-66	-18	24	-64.9	-17.6	25.3	341	-66	-18	24	183
8	40	0.0105	1.98	4.92	24	63	12	23.8	62.4	14.6	366	27	60	15	262
7	40	0.0105	1.98	4.69	57	-18	27	61.9	-16.9	24.5	370	66	-15	24	241
6	39	0.0121	1.92	4.38	-27	-81	33	-27.6	-77.4	33.3	392	-30	-78	39	209
5	37	0.0158	1.8	5.72	9	-48	42	6.83	-48.3	43.2	388	6	-48	42	252
4	36	0.0181	1.74	5.36	-18	-63	39	-16	-63.4	37.2	396	-12	-66	33	235
3	33	0.0274	1.56	4.08	30	-21	-6	29.3	-22.9	-7.44	165	27	-30	-9	116
2	33	0.0274	1.56	4.91	12	39	15	11.4	40.9	9.61	251	9	45	3	190
1	29	0.0486	1.31	5.65	-6	-39	51	-5.76	-38.9	50.1	357	-3	-42	51	219
