Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
12	7993	0	90.5	14.6	45	14	22	31	20.9	27.9	502	45	25	19	78.1
11	325	3.64e-09	8.44	7.67	15	49	36	16.9	48	35	253	13	47	36	81.9
10	234	5.36e-07	6.27	8.32	46	50	36	46.7	48.4	36	165	49	49	39	71.8
9	218	1.37e-06	5.86	5.93	32	44	43	31.5	45.4	43.2	120	32	45	44	50
8	196	5.13e-06	5.29	5.77	46	62	34	47.7	58.2	31.4	128	45	58	30	68.5
7	179	1.48e-05	4.83	6.42	45	43	43	43.2	43.4	44.8	169	44	44	47	54.6
6	96	0.00482	2.32	4.69	40	36	13	39.9	33.6	12.1	390	38	35	12	88.5
5	87	0.00982	2.01	5.93	51	39	38	51.7	38.8	36.9	129	52	39	39	55
4	87	0.00982	2.01	4.9	51	65	23	46.4	63.8	21.9	111	47	62	22	67.3
3	79	0.0188	1.73	4.03	27	39	22	27.8	41.2	21.6	261	29	42	16	79.4
2	77	0.0222	1.65	3.71	17	64	12	18.6	64.9	12.5	843	20	67	12	390
1	72	0.0338	1.47	3.72	47	64	12	44.9	64.9	12.3	700	44	67	13	303
