Cluster Index	Z	x	y	z	
7	5.58	11	24	36
7	5.27	15	25	44
7	4.86	13	29	44
7	4.74	12	24	39
7	4.48	18	29	39
7	3.94	20	28	38
6	5.23	51	21	23
6	4.54	46	22	15
6	4.27	50	26	18
6	4.05	48	20	11
6	4.01	47	18	20
6	3.45	49	23	19
5	4.24	20	48	47
5	3.89	24	45	47
5	3.77	18	45	46
5	3.45	20	49	41
5	3.23	15	50	40
5	3.11	24	48	45
4	3.81	37	30	31
4	3.67	41	28	31
4	3.39	42	24	29
4	3.33	39	34	32
4	3.18	42	22	27
4	3.16	44	25	26
3	3.46	47	32	27
3	3.28	47	28	32
3	3.1	50	30	29
3	3.06	46	24	37
3	2.89	44	23	41
3	2.65	48	26	35
2	4.49	53	26	38
2	3.2	50	20	36
2	2.39	51	20	33
1	4.02	24	64	30
1	3.81	20	64	28
1	3.15	21	62	26
1	3.03	20	64	24
1	2.94	20	59	25
