Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
8	905	6.12e-20	19.2	4.8	52	24	37	43.3	26.8	34.6	315	52	26	35	148
7	837	7.79e-19	18.1	5.55	11	24	35	13.2	27.1	34.7	429	16	25	44	129
6	157	6.17e-05	4.21	3.87	19	45	46	21.9	49.3	44.6	237	19	45	46	119
5	112	0.00143	2.84	5.11	49	20	21	49.8	18.7	23.6	275	50	21	23	114
4	110	0.00166	2.78	4.65	45	69	11	43.1	69.4	10.7	2.79e+03	43	69	11	974
3	94	0.00564	2.25	3.93	49	52	34	48.4	51.6	30.6	249	49	52	34	155
2	83	0.0136	1.87	3.91	17	68	11	20.1	68.5	10.6	2.81e+03	19	69	10	1.16e+03
1	82	0.0147	1.83	4.3	20	43	5	19.5	43.5	2.49	426	17	47	1	269
