Cluster Index	Z	x	y	z	
14	8.11	-24	-90	6
14	7.82	-30	-78	-12
14	7.43	-15	-102	9
14	7.35	-18	-99	0
14	7.34	-42	-66	-18
14	7.33	-18	-84	-15
13	7.91	18	-99	-3
13	7.69	30	-90	-12
13	7.22	30	-87	0
13	7.16	21	-93	-9
13	7.04	33	-63	-12
13	7.02	36	-78	6
12	7.87	-3	-3	57
12	7.43	-12	-3	72
12	7.12	15	-3	72
12	7	6	0	57
12	6.97	15	-3	60
12	6.75	-9	9	54
11	6.46	-45	3	60
11	6.03	-51	-3	54
11	5.88	-51	3	48
11	5.74	-39	-6	45
11	5.39	-42	-18	60
11	4.28	-24	-24	63
10	5.51	-36	15	12
10	4.9	-30	30	6
10	4.48	-24	6	-3
10	3.89	-33	39	9
10	3.45	-48	21	12
9	6.08	-42	-36	24
9	5.11	-51	-54	12
9	4.5	-54	-30	24
8	6.3	-48	6	3
8	4.24	-45	-3	15
8	4.05	-54	6	21
8	3.95	-48	15	0
8	3.84	-60	9	30
8	3.27	-36	-6	3
7	6.73	-30	-51	54
6	4.68	51	-3	51
6	4.62	45	-3	48
6	4.06	39	6	51
5	5.8	45	9	3
4	6.01	36	-51	63
3	5.24	63	3	12
2	5.23	66	-33	21
2	3.91	63	-15	24
1	4.72	-48	-75	9
1	4.33	-36	-69	6
1	3.45	-51	-87	9
