Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
14	1063	2.37e-25	24.6	8.11	-24	-90	6	-29.7	-80	-7.17	193	-30	-81	-9	83.7
13	957	1.36e-23	22.9	7.91	18	-99	-3	31.7	-82.9	-5.52	215	27	-99	6	91.2
12	539	7.05e-16	15.2	7.87	-3	-3	57	-0.0507	3.01	55.4	248	0	-3	57	90
11	412	3.64e-13	12.4	6.46	-45	3	60	-42.2	-8.14	53.7	201	-42	0	60	75.2
10	154	1.67e-06	5.78	5.51	-36	15	12	-30.8	16.3	4.75	160	-33	15	9	88.4
9	134	7.09e-06	5.15	6.08	-42	-36	24	-48.6	-43.4	19.6	145	-48	-54	15	67.1
8	133	7.63e-06	5.12	6.3	-48	6	3	-49.1	4.73	10.2	154	-48	15	-3	83.4
7	102	8.69e-05	4.06	6.73	-30	-51	54	-31.1	-53.5	53.7	165	-36	-54	54	81.6
6	77	0.000743	3.13	4.68	51	-3	51	46.3	0.844	51.7	142	45	0	57	79.1
5	66	0.00205	2.69	5.8	45	9	3	45.6	10.6	2.24	146	48	6	-3	97.3
4	54	0.00664	2.18	6.01	36	-51	63	37.1	-52.7	61.5	183	36	-54	60	101
3	49	0.0111	1.96	5.24	63	3	12	60.9	5.49	15.5	147	63	0	12	88.7
2	47	0.0137	1.86	5.23	66	-33	21	64.3	-26.4	22.3	136	63	-18	24	88.3
1	37	0.0407	1.39	4.72	-48	-75	9	-44.9	-73	7.65	74	-45	-66	9	47.9
