Cluster Index	Z	x	y	z	
16	6.82	30	8	25
16	6.14	28	7	27
16	6.03	30	15	11
16	5.59	15	16	21
16	5.47	31	11	18
16	5.09	27	18	8
15	4.86	13	42	15
15	4.83	22	37	15
15	4.83	16	33	16
15	4.65	14	40	16
15	4.57	15	36	16
15	4.11	17	39	13
14	6.09	9	28	22
14	5.08	15	31	20
14	4.96	9	37	20
14	4.6	10	31	21
13	5.14	48	29	20
13	4.97	46	30	20
13	4.9	44	32	20
13	3.35	42	35	19
12	4.66	46	17	12
12	4.13	43	14	13
12	3.7	39	14	13
12	3.52	48	20	12
11	3.89	32	25	23
11	3.69	30	31	19
11	3.65	32	29	24
11	3.6	32	27	20
11	3.59	38	23	19
11	3.46	32	24	19
10	4.85	37	26	7
10	4.53	36	23	7
10	4.09	41	32	11
10	4.06	42	32	13
10	3.83	40	33	15
9	4.5	39	42	35
9	4.38	40	44	36
9	3.95	40	49	31
8	4.77	26	55	24
8	3.79	23	57	28
8	3.7	24	55	30
8	3.27	25	59	26
7	4.41	44	27	33
7	4.18	44	28	30
6	5.44	47	22	8
6	4.02	49	29	9
6	3.98	47	28	9
5	4.45	14	56	23
5	4.21	17	54	20
5	4.1	13	56	26
5	3.19	16	58	21
4	4.12	26	33	37
4	3.7	23	35	37
4	3.61	25	28	37
4	3.47	26	30	41
4	3.4	26	29	34
4	3.26	25	25	37
3	3.73	23	23	30
3	3.52	20	24	32
3	3.5	23	21	28
3	3.28	23	26	33
2	5.41	13	20	21
2	4.89	15	24	19
1	5.13	49	28	13
1	3.9	48	31	12
