Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
12	649	7.96e-12	11.1	4.69	10	31	40	19.5	33.2	46.4	685	16	33	47	233
11	545	2.32e-10	9.63	4.25	17	61	27	16.8	51	30.8	541	18	60	28	252
10	325	6.56e-07	6.18	5.59	47	21	43	47.1	25.7	43.3	709	47	30	46	268
9	245	1.84e-05	4.74	4.3	30	57	39	31.9	54	38.1	580	33	53	39	287
8	227	4.07e-05	4.39	5.13	18	16	22	20.9	14.2	22.9	631	18	16	22	210
7	148	0.00178	2.75	3.53	34	38	33	32.8	36.5	34.9	436	32	35	36	218
6	143	0.0023	2.64	3.95	22	19	18	19.6	22.7	16.2	419	16	25	19	155
5	116	0.00986	2.01	4.24	47	60	25	45.7	59.8	25.4	520	47	60	25	270
4	104	0.0194	1.71	4.35	9	32	23	12.3	30.9	24.6	339	10	32	23	184
3	101	0.0231	1.64	4.14	44	20	23	42.5	15	22.7	432	45	15	22	253
2	97	0.0292	1.54	3.33	10	38	34	9.65	37.6	32.8	402	10	38	34	157
1	95	0.0328	1.48	3.95	44	29	17	44.2	25.5	17.3	333	44	29	17	183
