Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
9	1539	8.54e-24	23.1	6.04	13	28	44	15.7	39.1	36.9	625	18	26	45	158
8	471	5.76e-10	9.24	4.66	20	22	29	15	23.6	28.8	309	20	21	20	140
7	236	1.02e-05	4.99	4.62	48	43	35	46.4	42.1	32.5	210	45	38	32	98.1
6	218	2.41e-05	4.62	4.6	47	37	16	52	35.4	20.9	206	52	31	25	95.1
5	178	0.000179	3.75	3.47	27	20	26	27.6	19.9	28.4	428	27	27	26	185
4	151	0.000753	3.12	4.09	33	57	16	35.4	55.3	18.8	303	33	49	21	117
3	132	0.00218	2.66	3.61	48	25	28	48.2	22.2	29.3	229	48	26	28	121
2	119	0.00464	2.33	4.48	42	65	35	37.7	63.4	35.3	207	37	64	36	105
1	102	0.013	1.89	4.05	44	50	11	47	48.6	14.7	211	44	50	12	118
