Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
12	1608	4.98e-26	25.3	5.95	28	15	22	32.6	17.8	22.6	523	41	18	24	191
11	1198	4.13e-21	20.4	5.73	22	22	35	20.8	32.2	44.2	566	25	20	43	178
10	688	4.25e-14	13.4	5.14	41	22	39	40.2	23.6	42.1	540	38	19	46	175
9	256	1.55e-06	5.81	4.49	14	53	36	17.4	50.5	35.7	488	17	45	38	185
8	247	2.44e-06	5.61	4.31	45	43	43	39.8	47.5	43	371	45	47	46	154
7	228	6.26e-06	5.2	4.14	35	19	15	36.3	21.6	11.6	254	35	22	8	125
6	182	6.97e-05	4.16	4.54	46	54	31	46	56.2	32.1	374	46	55	32	180
5	167	0.00016	3.8	4.35	38	37	20	37.5	35	21.3	484	32	31	19	179
4	137	0.000907	3.04	4.53	24	65	23	22.1	65.1	24.3	425	25	66	23	205
3	131	0.0013	2.89	4.19	19	22	10	19.9	22.2	9.43	637	16	20	8	142
2	118	0.00291	2.54	5.2	48	46	32	47	47.2	33.2	311	48	47	32	155
1	88	0.0208	1.68	3.96	36	54	34	37.5	57.5	34.7	222	34	56	34	114
