onsets	durations	trial_type
4.011550	2.012500	AntSmLoss
10.046550	2.011700	AntNeu
20.878510	4.011800	AntLgLoss
30.510190	3.011800	AntLgLoss
38.967440	4.013200	AntLgGain
55.806840	3.010000	AntLgGain
63.036470	2.010600	AntLgGain
70.269410	4.011800	AntLgLoss
77.298120	4.011500	AntNeu
88.129700	4.009700	AntSmLoss
97.764320	4.010800	AntSmGain
108.594500	3.009800	AntSmLoss
114.622400	4.010700	AntSmLoss
126.651600	3.011100	AntLgGain
132.678100	2.010400	AntLgGain
144.708300	3.010800	AntSmGain
150.735500	3.011500	AntLgLoss
157.962900	3.011400	AntSmLoss
163.991300	4.011500	AntLgLoss
173.621700	2.011200	AntNeu
180.851600	3.011300	AntLgLoss
191.682400	4.010900	AntNeu
201.311500	4.011500	AntLgGain
210.940100	4.012100	AntSmGain
218.168100	2.009800	AntNeu
226.596500	3.009900	AntLgGain
235.024100	2.010600	AntSmLoss
243.451500	2.011000	AntSmLoss
257.881400	3.011300	AntNeu
265.108200	4.011900	AntSmGain
272.135700	2.009300	AntLgGain
279.362900	2.009800	AntLgGain
285.389600	4.011700	AntLgLoss
292.416700	4.011000	AntNeu
302.045600	3.010900	AntSmGain
310.473900	3.010900	AntSmGain
323.705000	2.011400	AntSmGain
330.933400	2.011300	AntLgLoss
338.161200	4.011600	AntLgLoss
345.187700	3.011000	AntLgGain
351.216400	2.010000	AntNeu
362.045400	4.011300	AntNeu
369.072800	3.010600	AntSmGain
379.903100	3.011200	AntLgLoss
395.534600	2.010600	AntSmLoss
402.761500	3.010900	AntSmGain
418.390100	2.010500	AntSmGain
428.017100	2.010300	AntSmLoss
435.243000	4.012300	AntNeu
443.670100	2.010900	AntSmLoss
7.024050	1.000000	ConHit
13.058280	1.000000	ConHit
25.890280	1.000000	ConHit
34.521980	1.000000	ConHit
43.980620	1.000000	ConHit
59.816890	1.000000	ConHit
66.047080	1.000000	ConHit
75.281170	1.000000	ConHit
82.309610	1.000000	ConHit
93.139380	1.000000	ConMiss
102.775100	1.000000	ConHit
112.604300	1.000000	ConHit
119.633100	1.000000	ConHit
130.662700	1.000000	ConHit
135.688500	1.000000	ConHit
148.719100	1.000000	ConHit
154.747000	1.000000	ConHit
161.974200	1.000000	ConHit
169.002900	1.000000	ConHit
176.633000	1.000000	ConMiss
184.862900	1.000000	ConMiss
196.693300	1.000000	ConHit
206.323000	1.000000	ConHit
215.952200	1.000000	ConHit
221.178000	1.000000	ConHit
230.606400	1.000000	ConHit
238.034700	1.000000	ConMiss
246.462500	1.000000	ConHit
261.892700	1.000000	ConHit
270.120000	1.000000	ConHit
275.145000	1.000000	ConMiss
282.372700	1.000000	ConMiss
290.401300	1.000000	ConHit
297.427600	1.000000	ConMiss
306.056500	1.000000	ConHit
314.484800	1.000000	ConHit
326.716400	1.000000	ConMiss
333.944700	1.000000	ConMiss
343.172800	1.000000	ConMiss
349.198700	1.000000	ConHit
354.226400	1.000000	ConHit
367.056600	1.000000	ConHit
373.083400	1.000000	ConHit
383.914300	1.000000	ConHit
398.545200	1.000000	ConMiss
406.772400	1.000000	ConHit
421.400600	1.000000	ConHit
431.027400	1.000000	ConMiss
440.255300	1.000000	ConHit
446.681000	1.000000	ConHit
