Cluster Index	Z	x	y	z	
27	9.05	28	17	7
27	7.92	34	25	8
27	7.51	31	31	8
27	7.23	24	29	5
27	6.75	28	26	20
27	6.72	33	32	9
26	8.12	16	42	19
26	7.6	17	51	12
26	7.03	13	51	23
26	6.9	15	46	16
26	6.87	15	45	18
26	6.78	17	45	14
25	8.15	46	38	41
25	6.8	46	43	39
25	6.7	50	46	35
25	6.57	49	45	33
25	6.38	54	46	36
25	6.29	50	61	21
24	7.34	51	43	13
24	7.32	47	40	13
24	7.04	50	44	16
24	6.68	48	45	19
24	6.65	49	44	14
24	6.53	51	46	13
23	6.64	15	53	31
23	6.23	10	54	32
23	6.04	11	51	30
23	6.04	10	48	31
23	6.02	21	56	31
23	5.9	19	54	30
22	6.06	22	49	22
22	5.69	25	46	27
22	5.44	27	45	22
22	4.67	27	49	23
22	4.12	24	49	29
22	3.72	24	49	33
21	6.46	24	59	29
21	5.18	26	66	27
21	5.05	28	64	34
21	4.89	26	62	32
21	4.42	31	67	21
21	4.11	31	65	22
20	6.28	37	56	20
20	6.07	41	55	21
20	5.25	42	57	21
20	4.8	34	59	18
20	4.78	36	54	21
20	4.76	34	53	17
19	6.28	8	26	32
19	5.22	8	29	28
19	4.69	9	24	34
19	4.5	7	32	28
19	4.28	10	22	32
19	4	8	31	32
18	5.45	26	31	31
18	5.36	25	28	29
18	4.75	29	34	29
18	4.32	23	26	27
18	4.09	30	35	32
17	4.85	35	34	29
17	4.49	41	28	32
17	4.46	42	26	30
17	4.28	38	31	32
17	4	35	34	35
17	3.63	39	29	30
16	4.97	39	58	25
16	4.8	31	56	25
16	4.62	35	56	26
16	4.41	36	58	27
16	4.31	38	58	27
16	3.8	40	60	28
15	5.07	15	43	40
15	4.79	17	43	34
15	4.78	18	43	40
15	4.49	19	42	38
15	3.92	14	43	32
15	3.61	14	45	36
14	5.38	31	39	50
14	5.25	36	38	49
14	5.22	36	39	51
14	4.54	29	38	51
13	5.44	49	31	35
13	4.83	48	32	33
13	4.5	56	32	35
13	4.13	53	29	35
13	3.99	56	32	33
13	3.94	51	32	38
12	5.83	25	64	21
12	5.74	23	65	23
12	5.29	25	66	20
12	4.39	20	67	28
12	4.06	21	68	25
12	3.77	23	69	28
11	5.18	45	66	32
11	4.75	40	69	31
11	4.64	47	65	31
11	4.54	43	67	32
11	4.2	41	68	33
11	3.99	37	69	33
10	5.52	37	48	34
10	4.75	36	49	36
10	4.41	40	49	35
10	3.98	35	50	34
9	5.31	23	39	42
8	4.53	53	22	31
8	4.49	53	22	33
8	4.34	53	28	32
8	3.95	51	23	31
8	3.91	55	27	31
8	3.88	57	29	30
7	4.82	36	65	31
7	4.73	35	64	27
7	4.05	36	61	33
7	3.92	35	62	31
7	3.73	33	64	31
6	5.1	25	52	39
6	4.93	22	50	40
5	5.34	33	41	26
5	3.91	33	38	24
5	3.56	34	40	28
4	5.02	32	28	3
4	4.74	30	27	3
3	4.82	40	46	25
3	4.54	42	46	23
3	3.82	45	49	25
2	4.82	41	29	46
2	4.59	43	29	44
1	4.67	30	69	31
1	4.66	26	69	31
1	4.42	25	68	34
