Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
24	1968	0	74	12.4	27	-60	-6	-8.3	-69.4	6.9	95.1	27	-60	-6	27.8
23	742	1.91e-38	37.7	6.4	60	9	-6	54.8	-5.78	22.4	71.1	60	6	3	25.9
22	635	1.53e-34	33.8	6.78	-66	-18	18	-59.5	-18.9	25	58	-63	-21	18	24.4
21	562	9.5e-32	31	7.92	42	-87	15	29.3	-78.9	32.2	49.5	33	-84	21	23.8
20	101	2.56e-09	8.59	5.63	-42	39	18	-41.1	38.5	26.9	40.4	-42	39	18	25.1
19	98	4.13e-09	8.38	4.89	42	42	27	33.2	45.7	26.3	35.5	42	45	27	25.3
18	77	1.19e-07	6.92	4.84	45	-33	63	47.5	-29.7	52.8	51.8	48	-33	60	25.1
17	56	6.56e-06	5.18	4.53	-24	-39	72	-25	-35	67.1	29.2	-24	-39	75	16.8
16	52	1.43e-05	4.84	4.61	15	-33	45	9.76	-31.5	45.4	29.5	9	-39	48	22.6
15	52	1.43e-05	4.84	5.82	-15	-30	39	-12.9	-32.4	41.9	34.3	-12	-30	42	22
14	44	7.34e-05	4.13	4.43	0	-6	57	-3.3	2.51	50.2	33.6	0	-6	57	23.7
13	38	0.000267	3.57	4.53	-15	24	-6	-11.9	18.5	-5.62	39.1	-6	12	-3	26
12	37	0.000333	3.48	4.13	-24	6	63	-25.6	2.24	61.9	27.2	-33	-3	66	20.7
11	36	0.000417	3.38	5.11	-9	-33	81	-15.2	-30.8	79.3	38.2	-9	-33	81	25.7
10	33	0.000825	3.08	4.81	-15	-54	-54	-13.9	-52.1	-52.7	32.1	-15	-54	-54	25.9
9	32	0.00104	2.98	4.42	24	-42	69	22.9	-41.8	68.9	29.1	24	-42	69	20.9
8	31	0.00132	2.88	4.14	60	-18	-3	63.6	-19.7	-1.93	34.5	63	-21	-3	21.7
7	30	0.00167	2.78	4.79	3	42	27	4.48	39.4	27.3	40.5	0	42	27	28.1
6	28	0.0027	2.57	5.02	-30	-54	-60	-29.9	-61.4	-59.8	37.1	-27	-51	-60	21.7
5	25	0.0057	2.24	4.2	24	-69	-57	16.9	-70.2	-52.5	24.9	12	-66	-54	19.3
4	23	0.00951	2.02	4.79	18	-60	12	17.4	-58.1	13	35.2	15	-57	15	26.6
3	23	0.00951	2.02	5.55	-51	3	42	-51.4	2.31	41.6	42.5	-54	6	42	25.8
2	19	0.0276	1.56	4.77	51	-69	-30	48.7	-72.3	-28.5	20.4	45	-78	-30	15
1	17	0.0482	1.32	3.98	-18	-69	15	-19.4	-63.5	19.2	31.6	-18	-63	21	22.2
