Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
12	789	4.22e-40	39.4	16.3	33	-45	-21	39.7	-67.4	-6.16	135	33	-45	-21	31.8
11	407	2.23e-25	24.7	12.5	-39	-48	-21	-35.4	-77	-13.2	77.6	-36	-45	-21	29.8
10	114	3.36e-10	9.47	6.74	-6	48	-24	-1.39	50	-17.6	51.9	-3	60	-9	31.6
9	91	1.29e-08	7.89	5.52	9	60	30	1.82	59.4	25.7	52.6	-3	63	15	30
8	63	1.73e-06	5.76	6.1	3	-57	27	1.18	-55.4	26.3	54.8	3	-54	24	36.9
7	47	3.93e-05	4.41	5.13	-54	-72	21	-52.1	-69.3	25	37.4	-54	-69	21	24.1
6	27	0.00346	2.46	5.5	18	-6	-12	18.9	-7.38	-14	39.3	18	-6	-12	29.1
5	25	0.0057	2.24	5.82	0	-36	33	0.621	-36.7	34.3	45.3	0	-36	33	32.4
4	25	0.0057	2.24	4.72	-45	27	-18	-43.4	24.9	-17.3	33.4	-42	24	-18	23.1
3	24	0.00735	2.13	4.67	-42	-60	24	-42.1	-57.2	23	32.6	-42	-60	24	21.6
2	24	0.00735	2.13	4.75	42	39	-15	41.7	36.9	-14	34.5	39	42	-15	21.7
1	20	0.0211	1.68	5.4	-36	-15	-18	-39.1	-18.3	-20.5	26.6	-36	-15	-18	17.2
