Cluster Index	Z	x	y	z	
13	13.5	-39	-87	-12
13	12.6	-6	-93	-12
13	11.2	-36	-63	-15
13	11.1	36	-84	3
13	10.7	-42	-69	-15
13	10.5	33	-93	-3
12	8.27	-36	-6	48
12	7.61	-42	3	33
12	6.93	-36	-27	57
12	5.27	-27	-15	57
12	5.01	-24	-30	57
12	4.85	-45	-21	57
11	6.32	36	45	12
11	5.91	39	39	36
11	5.31	42	48	24
11	5.14	33	33	33
11	4.5	30	63	21
11	4.41	18	57	30
10	6.67	24	6	63
10	5.59	33	0	57
10	4.87	36	-3	48
10	4.54	24	6	45
10	4.52	39	0	54
10	4.25	45	12	57
9	4.7	-15	-33	-3
9	4.66	-3	-30	-3
9	4.28	-12	-9	-6
9	4.28	-12	-15	3
9	4.26	-6	-9	0
9	4.02	-9	-18	12
8	5.24	6	-39	75
8	4.9	-9	-21	60
8	4.32	-9	-36	63
8	3.96	-6	-24	69
8	3.89	6	-33	69
8	3.72	6	-27	81
7	5.78	3	6	51
7	5.33	6	15	39
6	4.98	42	9	24
6	4.6	39	6	33
6	4.54	45	3	36
6	3.21	51	6	18
5	4.79	-39	39	36
5	4.41	-33	51	36
5	4.04	-45	39	27
5	3.83	-33	39	27
4	4.85	-6	-15	-15
4	4.46	12	-15	-6
4	4.34	3	-15	-12
3	4.11	-27	-54	-57
3	4.05	-30	-72	-51
3	4.03	-21	-63	-57
3	3.88	-12	-60	-51
3	3.22	-15	-51	-48
2	4.69	-39	-39	-39
1	5.73	-27	-39	-48
