Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
13	5459	0	121	13.5	-39	-87	-12	-0.997	-67.8	1.74	97.5	-6	-90	-12	25.1
12	560	7.51e-26	25.1	8.27	-36	-6	48	-35	-9.86	50.3	60.6	-42	6	30	19.4
11	218	2.42e-13	12.6	6.32	36	45	12	34.4	46.8	27.7	38.3	39	45	12	20.3
10	202	1.24e-12	11.9	6.67	24	6	63	28.9	3.52	58.5	36.5	27	3	66	17.5
9	112	5.96e-08	7.22	4.7	-15	-33	-3	-8.31	-17.9	0.021	51.6	3	-33	0	20.9
8	100	1.19e-07	6.92	5.24	6	-39	75	-4.07	-30.7	68.4	24.3	6	-39	75	13.8
7	76	3.93e-06	5.41	5.78	3	6	51	4.14	9.49	47.9	44.5	3	6	51	24.3
6	61	3.61e-05	4.44	4.98	42	9	24	41.6	6.14	30.6	34.5	39	9	27	22.1
5	52	0.00015	3.83	4.79	-39	39	36	-37.8	41.2	32.1	30.2	-39	39	36	19.1
4	44	0.000567	3.25	4.85	-6	-15	-15	1.59	-14.9	-13.1	52	0	-15	-21	25.9
3	35	0.00281	2.55	4.11	-27	-54	-57	-21.8	-63.6	-53.7	21.9	-27	-54	-60	15.2
2	25	0.0196	1.71	4.69	-39	-39	-39	-39.8	-40.2	-38.3	24.2	-39	-39	-36	17.5
1	24	0.0241	1.62	5.73	-27	-39	-48	-24.1	-36.1	-48.9	32.1	-27	-39	-48	23.9
