onsets	durations	trial_type
4.010861	2.011500	AntSmLoss
10.043120	2.011900	AntNeu
20.874120	4.012100	AntLgLoss
30.504590	3.011400	AntLgLoss
38.973360	4.012800	AntLgGain
55.809620	3.011400	AntLgGain
63.039150	2.010400	AntLgGain
70.269360	4.010600	AntLgLoss
77.297260	4.010000	AntNeu
88.124210	4.010200	AntSmLoss
97.756480	4.010700	AntSmGain
108.583700	3.010600	AntSmLoss
114.610700	4.009900	AntSmLoss
126.637900	3.011000	AntLgGain
132.664900	2.010200	AntLgGain
144.691500	3.010800	AntSmGain
150.718000	3.010100	AntLgLoss
157.945100	3.010100	AntSmLoss
163.971800	4.010500	AntLgLoss
173.599900	2.011200	AntNeu
180.830200	3.011900	AntLgLoss
191.661100	4.010100	AntNeu
201.287500	4.010000	AntLgGain
210.913800	4.010700	AntSmGain
218.140900	2.010400	AntNeu
226.568400	3.011000	AntLgGain
234.995900	2.010300	AntSmLoss
243.422500	2.010100	AntSmLoss
257.849000	3.010000	AntNeu
265.075200	4.010300	AntSmGain
272.100100	2.009900	AntLgGain
279.325700	2.009900	AntLgGain
285.351300	4.010200	AntLgLoss
292.376700	4.009900	AntNeu
302.003700	3.010600	AntSmGain
310.430400	3.010300	AntSmGain
323.657000	2.010300	AntSmGain
330.883000	2.010100	AntLgLoss
338.108500	4.010100	AntLgLoss
345.133800	3.009800	AntLgGain
351.159600	2.010400	AntNeu
361.987000	4.010700	AntNeu
369.014200	3.010500	AntSmGain
379.840600	3.010200	AntLgLoss
395.466800	2.010300	AntSmLoss
402.692800	3.009800	AntSmGain
418.318700	2.010400	AntSmGain
427.945300	2.010000	AntSmLoss
435.170900	4.010300	AntNeu
443.596800	2.010200	AntSmLoss
7.022325	1.000000	ConHit
13.055010	1.000000	ConHit
25.886180	1.000000	ConHit
34.515980	1.000000	ConMiss
43.986210	1.000000	ConMiss
59.821030	1.000000	ConHit
66.049510	1.000000	ConHit
75.279920	1.000000	ConHit
82.307240	1.000000	ConMiss
93.134450	1.000000	ConMiss
102.767100	1.000000	ConHit
112.594300	1.000000	ConHit
119.620600	1.000000	ConHit
130.648900	1.000000	ConHit
135.675100	1.000000	ConHit
148.702200	1.000000	ConHit
154.728100	1.000000	ConHit
161.955200	1.000000	ConHit
168.982400	1.000000	ConHit
176.611100	1.000000	ConHit
184.842100	1.000000	ConMiss
196.671200	1.000000	ConHit
206.297500	1.000000	ConHit
215.924500	1.000000	ConHit
221.151300	1.000000	ConHit
230.579400	1.000000	ConHit
238.006200	1.000000	ConHit
246.432600	1.000000	ConHit
261.859000	1.000000	ConMiss
270.085500	1.000000	ConHit
275.110000	1.000000	ConMiss
282.335600	1.000000	ConHit
290.361400	1.000000	ConMiss
297.386500	1.000000	ConMiss
306.014300	1.000000	ConMiss
314.440700	1.000000	ConMiss
326.667300	1.000000	ConMiss
333.893000	1.000000	ConHit
343.118600	1.000000	ConHit
349.143600	1.000000	ConHit
354.170000	1.000000	ConHit
366.997700	1.000000	ConMiss
373.024600	1.000000	ConHit
383.850800	1.000000	ConMiss
398.477100	1.000000	ConHit
406.702600	1.000000	ConHit
421.329000	1.000000	ConMiss
430.955200	1.000000	ConMiss
440.181200	1.000000	ConHit
446.607000	1.000000	ConHit
