Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
11	2188	0	57.9	7.01	41	15	39	32.5	17.7	28.1	246	42	18	20	79.8
10	253	3.07e-13	12.5	7.82	34	19	7	36.3	16.8	8.35	149	34	19	7	64.3
9	104	6.56e-07	6.18	6.5	21	15	10	21.8	16.4	7.9	78.2	25	17	6	42.6
8	61	0.000141	3.85	4.92	32	28	28	31.2	30.8	27.5	249	32	29	28	124
7	41	0.00265	2.58	5.1	45	34	50	44.2	36.2	49.5	124	45	37	49	70.9
6	33	0.00972	2.01	5.57	41	28	51	40.2	27.7	50.2	129	40	31	51	67.8
5	32	0.0115	1.94	5.21	34	66	20	34	64.4	21.4	195	33	64	23	118
4	29	0.0193	1.71	4.69	48	38	14	48.2	39.8	13.1	83.2	46	38	15	57
3	29	0.0193	1.71	4.42	34	42	17	33.1	41.5	17	176	34	41	18	112
2	28	0.023	1.64	3.97	39	20	34	35.7	20.3	33.1	109	33	20	32	73.9
1	26	0.0329	1.48	4.59	40	24	29	39.9	23.9	29.2	83.1	39	24	29	55.4
