Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
17	725	1.26e-27	26.9	7.26	13	58	20	17.6	53.9	31.4	381	24	51	46	160
16	572	1.86e-23	22.7	4.95	12	33	43	16.6	25.6	42	453	23	21	46	155
15	116	1.79e-07	6.75	5.09	9	32	18	12.6	32.9	21.3	219	14	29	22	101
14	99	1.13e-06	5.95	5.04	48	33	45	47.4	31.9	45.1	350	46	30	47	162
13	75	2.19e-05	4.66	5.07	40	47	48	41.3	48.9	46.5	274	42	52	45	142
12	69	4.79e-05	4.32	4.97	53	39	33	52.9	37.8	33.5	196	53	38	33	136
11	65	8.17e-05	4.09	5.53	41	28	42	42.3	28.1	41.4	217	41	26	41	114
10	52	0.000503	3.3	5.73	9	44	36	8.57	42.7	34.5	225	8	42	33	127
9	47	0.00105	2.98	4.03	36	18	43	37.8	19.6	43.2	477	39	20	43	234
8	41	0.00265	2.58	4.68	16	21	28	15.3	21.4	27.8	133	15	21	28	102
7	35	0.00696	2.16	5.55	30	39	30	30.1	40.1	29.6	405	30	40	31	176
6	31	0.0137	1.86	4.68	14	25	17	13.8	25.8	16.6	150	14	24	19	82.9
5	30	0.0162	1.79	5.21	30	32	41	30.6	31.4	41.6	229	31	30	43	154
4	29	0.0193	1.71	4.42	45	30	10	45.8	30.8	10.5	96	46	31	11	74.9
3	28	0.023	1.64	3.75	23	46	22	24.9	45.7	22	177	27	45	21	135
2	24	0.0473	1.33	4.61	36	40	25	37.1	38.8	24.1	152	38	37	23	109
1	24	0.0473	1.33	5.74	35	31	3	34.8	29.9	4.07	911	34	31	3	412
