Cluster Index	Z	x	y	z	
21	7.14	27	17	23
21	6.75	39	22	23
21	6.73	31	39	31
21	6.31	26	17	41
21	6.3	37	26	24
21	6.23	18	16	28
20	5.51	44	23	48
20	5.04	44	37	48
20	5.02	48	35	44
20	4.76	43	37	44
20	4.61	40	26	47
20	4.55	47	39	48
19	6.61	9	41	23
19	5.95	11	46	19
19	5.88	10	46	21
19	4.52	12	50	20
19	4.31	12	45	16
19	3.58	13	49	17
18	5.57	33	20	6
18	5.5	34	19	8
18	4.91	36	19	7
18	4.64	41	13	14
18	4.39	35	12	12
17	5.14	30	67	33
17	4.85	35	68	31
17	4.31	33	66	34
17	4.14	33	69	27
17	4.05	40	68	32
17	4.03	41	65	34
16	4.67	33	43	38
16	4.46	34	36	41
16	3.33	32	46	36
15	5.1	24	59	42
15	4.32	29	55	47
15	4.29	27	63	39
15	4.29	27	64	37
15	3.92	26	57	45
15	3.84	31	63	41
14	4.53	25	43	27
14	4.22	25	43	22
14	4	25	45	21
14	3.96	23	48	24
14	3.86	27	46	21
14	3.81	23	44	25
13	6.01	32	39	18
13	4.83	31	34	18
13	4.44	33	35	17
12	4.53	27	28	9
12	4.07	26	31	9
12	3.63	28	33	8
12	3.54	25	33	8
11	4.56	19	45	29
11	4.27	15	42	29
11	3.62	17	44	25
10	4.78	8	33	24
10	4.34	8	29	23
10	3.63	8	35	21
9	3.98	15	52	24
9	3.82	16	50	26
9	3.77	13	54	23
8	4.43	9	32	38
8	4.28	8	34	32
8	4	10	35	37
8	3.5	8	38	32
7	4.26	28	65	25
7	3.38	28	67	23
6	4.21	28	52	19
6	4.16	29	53	16
6	4.04	30	56	18
6	3.57	29	57	21
6	3.51	29	59	22
5	4.78	25	67	32
5	4.63	23	67	29
5	4.11	26	68	30
5	3.89	20	66	26
4	4.33	47	35	36
4	4.15	45	33	32
4	3.2	49	31	31
3	4.37	46	30	10
3	3.92	46	32	10
3	3.86	43	32	10
2	4.49	27	35	39
2	3.96	30	36	40
2	3.49	29	34	42
1	5.66	16	59	33
1	3.27	16	57	36
