Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
17	367	2.96e-15	14.5	6.49	38	23	43	41.5	24.2	41.6	420	39	20	43	122
16	263	4.71e-12	11.3	5.97	15	55	34	17	52.4	37.1	261	16	50	41	104
15	239	2.94e-11	10.5	5.98	19	60	29	19.5	60.9	24.7	254	17	62	24	122
14	213	2.3e-10	9.64	6.39	44	14	25	42.9	15.2	24	208	41	12	23	92.4
13	120	8.34e-07	6.08	4.99	11	32	40	15.6	29.3	41.1	158	17	28	41	85.7
12	116	1.25e-06	5.9	4.82	18	46	45	21.3	46.7	41.8	125	18	45	45	66.3
11	116	1.25e-06	5.9	5	30	14	22	27.8	16.1	19.5	187	30	14	21	95.1
10	89	1.98e-05	4.7	4.7	28	56	38	30.8	52.3	40.7	160	32	51	42	90.7
9	74	0.000105	3.98	5.83	44	57	30	44.7	56.3	31.3	161	45	57	30	88.8
8	65	0.000301	3.52	5.85	19	16	23	19.5	14.7	23.3	180	18	15	22	88.7
7	63	0.000382	3.42	5.46	25	25	43	24.2	24.4	43.8	257	24	23	46	110
6	59	0.000624	3.21	5.03	50	23	24	47.3	24.4	23.4	133	50	23	24	73.9
5	54	0.00117	2.93	4.52	28	61	33	29.6	59.1	33.8	118	31	58	35	74.6
4	44	0.00435	2.36	4.43	23	19	38	23.1	19.7	37.8	166	23	19	38	106
3	38	0.01	2	4.26	44	22	18	44.7	23.8	16.1	97.6	45	22	18	69
2	32	0.0241	1.62	4.71	17	26	19	16.4	24.9	19.7	277	16	24	19	134
1	31	0.028	1.55	5.4	42	62	23	39.3	60.2	20.8	212	36	57	19	113
