Cluster Index	Z	x	y	z	
8	4.7	32	26	21
8	4.5	35	26	20
8	4.02	31	29	18
8	3.61	29	24	18
8	3.35	30	31	18
8	3.26	30	31	20
7	5.13	20	27	30
7	4.17	16	27	28
7	3.86	20	29	27
7	3.84	14	27	26
7	3.66	16	31	29
6	4.11	23	24	38
6	3.93	20	23	37
6	3.4	16	22	38
5	4.34	17	35	26
5	4.03	16	37	25
5	3.68	16	40	23
5	3.64	16	37	22
4	4.6	36	21	17
4	3.63	37	20	14
3	4.74	42	21	9
3	3.41	46	24	8
3	3.38	41	18	11
2	5.14	34	31	9
2	3.87	32	31	11
2	3.79	31	30	9
2	3.77	30	32	10
2	3.68	36	30	11
1	5.15	26	29	6
1	4.54	24	29	6
1	3.6	24	32	9
