Cluster Index	Z	x	y	z	
15	5.69	24	24	46
15	5.68	14	32	41
15	5.62	13	27	42
15	5.56	24	25	43
15	5.28	20	24	45
15	5.28	18	24	46
14	6.17	18	47	37
14	5.98	18	45	45
14	5.67	19	54	37
14	5.63	26	48	47
14	5.6	16	46	34
14	5.34	25	50	46
13	6.1	49	24	43
13	5.88	43	17	43
13	4.94	51	21	38
13	4.93	45	21	44
13	4.86	39	20	44
13	4.67	48	28	45
12	5.63	13	30	22
12	5.39	17	28	20
12	4.47	10	31	24
12	4.35	12	25	20
12	3.2	11	26	24
11	5.14	33	56	39
11	4.8	30	57	36
11	4.65	34	52	39
11	3.48	31	60	36
10	5.24	19	64	31
10	5.08	21	63	31
10	4.63	18	61	26
10	4.5	23	64	26
10	4.46	21	64	27
10	4.22	19	59	26
9	4.53	43	26	15
9	4.17	43	23	17
8	5.3	24	19	37
7	4.78	43	19	24
7	4.48	43	15	23
7	3.9	43	15	27
7	3.75	43	17	27
6	5.57	47	58	35
6	4.39	45	56	38
5	4.3	46	46	35
4	4.67	19	15	23
3	3.89	42	46	48
3	3.86	46	45	46
3	3.79	42	43	48
3	3.5	41	48	47
2	4.73	22	52	24
2	4.43	22	52	26
1	4.84	21	49	30
1	4.16	19	51	30
