Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
11	202	1.58e-11	10.8	5.67	27	-75	30	27.7	-69	37.7	253	21	-69	48	110
10	111	1.79e-07	6.75	4.61	-21	-96	-9	-25.9	-94.5	-7.5	183	-33	-96	-6	91.4
9	94	1.49e-06	5.83	5.27	-24	-54	45	-29.6	-52.1	44.5	134	-33	-60	54	77.2
8	93	1.67e-06	5.78	5.25	39	9	30	41.6	11.9	31.3	241	39	9	30	140
7	64	7.31e-05	4.14	5.92	54	30	27	48.9	35.2	21.7	152	51	45	9	118
6	56	0.000228	3.64	4.48	-42	6	33	-45.7	9.02	31.8	214	-42	3	33	147
5	49	0.000643	3.19	4.87	-30	-69	27	-27.1	-70.9	30.7	120	-30	-72	30	82.5
4	44	0.00139	2.86	4.88	39	-3	48	39.9	-2.11	48.5	135	39	-3	48	90.4
3	35	0.00603	2.22	4.12	39	-36	42	43.3	-37.7	42.6	139	45	-42	51	85.1
2	34	0.00715	2.15	4.28	6	-57	-6	2.61	-59.2	-2.5	204	-3	-66	3	134
1	28	0.0205	1.69	5.54	54	-39	-15	55.1	-38.6	-14.1	179	54	-39	-15	109
