Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
16	138	2.64e-08	7.58	4.61	39	53	18	40.5	53.2	19.3	691	35	48	21	256
15	137	2.92e-08	7.53	5.04	19	14	13	25.5	13.3	15.4	321	31	14	19	152
14	136	5.96e-08	7.22	6.13	43	27	33	43.4	27.6	31.2	123	41	32	31	65
13	56	0.000381	3.42	5.37	41	49	9	42.9	45.6	9.78	293	42	50	12	177
12	47	0.00137	2.86	5.27	50	39	13	51.9	39.7	16	190	54	40	18	109
11	38	0.00536	2.27	4.97	30	10	31	28.8	10.1	30.4	361	30	10	31	181
10	35	0.00863	2.06	4.72	21	64	28	21.1	61.6	28.5	159	22	60	29	113
9	35	0.00863	2.06	4.19	48	32	21	45.7	32.8	18.4	172	45	32	20	100
8	33	0.0119	1.92	5.25	47	14	31	46.7	13.6	27.4	188	45	13	23	83.2
7	31	0.0166	1.78	4.53	45	58	25	42.6	57.4	26.2	114	44	59	26	77.2
6	31	0.0166	1.78	4.92	41	67	21	41.7	64.5	21.9	326	44	63	22	199
5	30	0.0197	1.71	3.92	43	16	14	39.4	12.8	15.6	170	39	12	17	109
4	30	0.0197	1.71	5.48	38	28	35	37.1	28.5	35.4	109	35	26	34	66.9
3	28	0.0277	1.56	4.14	30	63	24	30.4	64.3	24.9	421	32	66	25	242
2	28	0.0277	1.56	4.73	22	24	29	21.2	24.9	28.5	90.3	23	24	28	56.6
1	28	0.0277	1.56	4.5	24	27	33	24.3	26.8	33	84.1	25	28	31	48.1
