Cluster Index	Z	x	y	z	
5	4.56	6	-9	78
5	4.38	9	-36	57
5	4.35	-12	-36	81
5	4.08	15	-33	63
5	3.87	-12	-24	54
5	3.64	-15	-42	60
4	5.05	-51	30	-15
4	4.3	-57	9	3
4	3.84	-51	36	3
4	3.7	-54	18	27
4	3.44	-54	21	15
4	3.34	-57	18	0
3	3.61	-33	-9	39
3	3.52	-57	-6	51
3	3.33	-39	-15	30
3	3.31	-39	-15	42
3	3.16	-51	-12	48
3	3.07	-57	-6	42
2	3.77	45	-6	39
2	3.63	69	-3	18
2	3.38	42	-6	27
2	3.23	42	-9	33
2	3.18	33	-6	36
2	3.14	45	-12	54
1	3.87	-12	42	33
1	3.63	-9	48	42
1	3.48	-18	48	45
1	3.44	-24	39	21
1	2.73	-21	33	15
1	2.7	-24	48	33
