Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
18	343	2.15e-12	11.7	9.71	-42	-84	-12	-32	-89	-9.57	641	-42	-81	-12	187
17	296	3.62e-11	10.4	8.14	39	-90	-12	31.7	-85.9	-11.1	557	39	-87	-12	202
16	252	5.85e-10	9.23	5.88	-60	-51	45	-50.6	-50.7	47.2	445	-39	-60	57	187
15	160	3.58e-07	6.45	4.87	0	30	30	-0.836	32.7	32.4	393	3	27	39	234
14	113	1.53e-05	4.81	5.22	3	-33	24	1.35	-26.9	28.4	332	0	-30	27	178
13	98	5.65e-05	4.25	4.8	-39	54	-6	-41.3	52.1	4.11	371	-36	60	15	197
12	91	0.000106	3.97	5.09	-60	-69	18	-61.5	-54.5	10.8	221	-63	-51	9	136
11	87	0.000153	3.81	5.04	45	-69	51	42.5	-57.8	53.4	351	45	-45	60	174
10	76	0.000435	3.36	5.04	-36	15	39	-44.2	16.5	40.4	477	-48	18	45	229
9	66	0.00117	2.93	4.17	-3	-66	21	-7.57	-69	14	259	0	-66	21	178
8	56	0.00332	2.48	5.48	-48	-57	-21	-43.7	-55.7	-22.1	449	-48	-57	-21	196
7	54	0.00412	2.39	4.62	45	48	3	44.2	47.5	1.84	329	45	48	0	211
6	50	0.00639	2.19	5.16	45	-42	12	47.1	-40	11.2	342	48	-39	12	180
5	44	0.0126	1.9	4.79	42	39	33	40.2	39.6	36.5	245	42	39	33	172
4	41	0.0179	1.75	6	-12	-18	75	-9.13	-11.7	74.3	377	-6	-6	75	197
3	39	0.0227	1.64	4.1	-42	-54	3	-46.5	-46.8	-0.444	190	-51	-45	0	103
2	38	0.0256	1.59	4.24	36	-75	-60	35.9	-68.9	-58.6	83.6	39	-69	-60	64.8
1	34	0.0417	1.38	4.13	-45	6	-3	-49.1	12.5	-3.17	333	-48	15	-6	234
