Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
16	1137	2.25e-22	21.6	10.7	20	14	22	22.3	17.6	22.3	675	20	13	23	168
15	1039	5.79e-21	20.2	15.2	49	20	22	43.4	18.7	23.3	1.12e+03	49	20	22	187
14	765	9.33e-17	16	6.08	50	50	15	45.4	54.6	17.8	1.57e+03	44	67	10	208
13	693	1.43e-15	14.8	5.46	52	35	26	51.5	32.9	28.1	398	50	22	35	144
12	575	1.55e-13	12.8	4.69	32	50	47	32.8	55	42.8	339	33	56	46	127
11	333	7.57e-09	8.12	4.81	19	50	34	22.2	48.4	29.2	263	19	50	34	132
10	243	7.75e-07	6.11	4.69	20	66	7	21.2	62.3	8.74	1.67e+03	19	67	9	405
9	214	3.99e-06	5.4	5.57	49	46	43	47.1	47.6	41.1	390	49	48	42	146
8	195	1.2e-05	4.92	4.9	13	33	27	13	32.3	26.8	237	12	33	26	134
7	191	1.53e-05	4.82	4.52	15	24	28	13.5	25.7	34.7	243	14	23	40	129
6	148	0.000217	3.66	7.57	21	34	4	21.3	34	6.38	897	21	34	4	250
5	134	0.000543	3.27	4.49	14	59	14	13.1	57.4	13	298	15	57	14	103
4	125	0.000996	3	3.89	41	47	5	43.6	46.9	5.01	398	41	46	4	185
3	99	0.00626	2.2	4.21	30	17	6	30	16.9	5.99	186	29	19	2	83.7
2	86	0.0166	1.78	3.85	47	61	31	46.9	59.7	27.7	201	44	64	28	116
1	73	0.0459	1.34	5.25	16	45	41	16.2	46.5	41.1	351	16	46	41	147
