Cluster Index	Z	x	y	z	
11	4.17	40	12	15
11	3.68	22	14	15
11	3.67	20	13	14
11	3.58	22	12	14
11	3.54	24	15	15
11	3.51	36	13	16
10	3.45	56	40	23
10	3.36	56	44	26
10	3.31	51	52	23
10	3.25	54	37	24
10	3.24	58	43	25
10	3.22	55	33	26
9	3.58	43	51	24
9	3.55	41	49	24
9	3.36	28	52	23
9	3.19	24	47	24
9	3.08	31	50	25
9	3.08	38	49	24
8	4.02	17	40	0
8	3.99	14	40	2
8	3.83	21	38	0
8	3.53	18	35	3
8	3.32	21	37	4
8	3.05	17	32	0
7	4	24	29	7
7	3.85	22	24	6
7	3.59	21	28	7
7	3.55	21	30	7
7	3.26	25	26	6
7	3.22	27	32	9
6	3.68	33	56	33
6	3.34	40	56	32
6	3.22	29	59	32
6	3.15	31	59	35
6	3.01	38	53	33
6	3	29	57	32
5	4.71	26	27	20
5	4.09	30	28	20
5	3.26	25	28	17
5	2.84	34	28	19
5	2.81	27	23	15
5	2.68	24	27	23
4	3.77	29	30	36
4	3.38	31	30	36
4	3.07	29	25	35
4	2.9	27	28	33
3	3.08	23	35	45
3	3	24	30	46
3	2.98	26	29	47
3	2.83	20	30	45
3	2.76	19	39	43
3	2.59	21	29	42
2	3.77	21	19	2
2	3.26	26	15	5
2	2.89	23	16	5
1	3.59	28	35	41
1	2.9	38	36	42
1	2.72	27	36	38
1	2.71	32	35	42
