Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
10	503	2.76e-19	18.6	7.73	18	-99	-6	27.9	-89.7	-4.26	229	24	-96	-9	99.7
9	462	3.53e-18	17.5	7.22	-24	-87	3	-26.6	-89.7	-4.86	186	-30	-78	-15	82.6
8	167	8.08e-09	8.09	7.25	-42	-66	-15	-41.4	-62.1	-14.8	128	-42	-66	-18	75.4
7	140	1.19e-07	6.92	4.85	-24	-24	63	-32.7	-24.4	61.6	158	-27	-27	72	79.7
6	111	1.61e-06	5.79	5.68	-3	-3	57	7.57	-0.159	59.6	187	0	-3	57	86.1
5	90	1.46e-05	4.84	6.73	36	-60	-12	39.6	-63.2	-13.6	118	36	-60	-15	67.7
4	72	0.000111	3.95	5.16	-12	-3	75	-11.8	3.53	59	107	-12	-3	75	57.5
3	60	0.000475	3.32	4.73	-39	-3	45	-45.6	-0.723	47	119	-45	3	57	64.5
2	49	0.00196	2.71	4.71	-33	-54	57	-29	-53.2	52.8	119	-36	-54	54	66.9
1	33	0.0188	1.73	4.24	-18	-12	30	-22.3	-12.7	33.3	66.8	-18	-9	30	41.9
