Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
9	9338	0	78.2	13.4	41	21	25	32.5	20.8	28.3	807	22	21	20	137
8	1449	1.23e-21	20.9	9.8	47	44	45	31.6	46.2	41.5	470	46	45	45	107
7	303	1.43e-06	5.84	5.38	43	22	0	36.6	17.6	3.73	210	44	21	0	74.5
6	301	1.55e-06	5.81	6.57	48	56	27	49.4	53.7	29.3	247	49	57	31	103
5	191	0.00021	3.68	4.86	17	63	18	19.2	61.6	15.3	693	18	64	15	232
4	143	0.00239	2.62	4.09	33	50	25	33.5	49.6	23.2	145	33	44	22	78.3
3	139	0.00296	2.53	6.13	46	59	15	44.1	63.9	15.7	867	46	66	15	256
2	105	0.0199	1.7	5.01	21	48	30	23.2	50.1	27.3	188	21	49	29	74.2
1	101	0.0252	1.6	4.62	41	46	1	39.9	42	3.52	268	37	39	4	126
