Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
11	1718	1.96e-24	23.7	5.06	24	16	41	33.4	24.4	35.6	798	43	19	42	246
10	538	2.15e-10	9.67	6.19	17	15	22	20.2	19.2	17.6	672	18	16	22	199
9	417	1.62e-08	7.79	6.66	22	60	11	20	63.2	11.6	2.85e+03	21	70	15	816
8	378	5.96e-08	7.22	5.11	42	31	50	42.2	34.1	47.3	790	42	30	50	204
7	364	1.19e-07	6.92	5.91	45	68	11	42.7	65.6	11.8	3.64e+03	44	68	11	905
6	277	4.23e-06	5.37	8.16	43	12	24	42.9	12.8	22.6	831	40	12	23	272
5	235	2.69e-05	4.57	4.35	47	57	38	46.3	53.3	39.9	499	50	52	36	235
4	225	4.24e-05	4.37	4.61	44	22	16	43	21.2	15.6	409	47	23	19	148
3	196	0.000165	3.78	4.48	46	62	25	44.6	58.3	23.2	471	46	62	25	237
2	139	0.00296	2.53	3.58	18	51	42	18.7	50	43.3	643	17	51	42	250
1	96	0.034	1.47	3.72	15	51	28	14	51.3	30.2	428	13	51	32	248
