Cluster Index	Z	x	y	z	
21	11.3	-39	-90	-12
21	11.2	-6	-93	-12
21	10.7	-33	-87	-15
21	9.66	36	-87	0
21	9.37	-24	-87	-18
21	9.12	27	-90	-12
20	7.99	36	-45	48
20	7.3	27	-63	39
20	7.15	33	-66	30
20	7.07	45	-51	60
20	6.31	48	-42	57
20	5.77	57	-30	57
19	7.63	-27	-69	33
19	6.23	-30	-57	45
19	6.01	-42	-42	45
19	5.9	-48	-57	51
19	5.72	-42	-54	60
19	5.36	-48	-36	66
18	5.63	39	36	12
18	5.4	45	51	-3
18	5.24	39	51	6
18	5.01	33	48	3
18	4.79	48	39	-12
18	4.38	30	57	-3
17	5.45	0	39	30
17	5.31	0	33	33
17	5.22	9	30	30
17	5.01	15	15	30
17	4.38	0	21	39
17	4.03	6	21	36
16	6.9	-42	3	30
16	5	-36	-6	45
16	4.61	-51	-3	39
16	3.74	-36	3	51
16	3.43	-24	-3	51
15	7.3	42	0	63
15	6.36	39	6	60
15	5.22	24	6	66
15	4.55	33	24	60
15	3.76	45	12	57
14	6.08	45	3	36
14	5.91	39	6	30
14	5.41	54	9	18
14	4.65	45	6	24
13	5.83	15	-72	-48
13	4.58	18	-63	-45
13	4.49	9	-60	-51
13	4.34	6	-63	-42
13	4.27	21	-60	-57
13	3.62	12	-54	-45
12	4.78	54	-27	-21
12	4.73	57	-36	-15
12	4.56	63	-36	-12
12	4.46	63	-30	-3
12	4.19	69	-30	-9
11	6.16	-33	18	9
11	4.97	-30	24	-6
11	4.46	-36	21	-6
11	3.67	-24	33	-3
10	5.09	-54	-30	-6
10	4.71	-63	-27	0
10	4.44	-54	-36	-15
10	4.41	-69	-27	-9
10	3.3	-45	-33	-12
9	5.47	-21	6	66
9	4.89	6	12	51
9	3.98	9	6	57
9	3.41	9	12	42
8	5.71	36	18	3
8	5.07	30	21	9
7	4.91	3	-33	24
7	4.76	3	-15	30
6	4.52	-48	42	-9
6	4.19	-36	48	0
6	3.6	-33	54	3
5	4.9	-15	-18	-12
5	4.62	-12	-24	-24
5	3.92	-9	-9	-6
5	3.68	-15	-12	-6
4	5.69	-12	12	18
3	4.69	-42	27	27
3	3.37	-45	24	39
2	4.7	39	39	39
2	3.69	42	36	30
1	5.4	-42	-66	12
1	3.89	-39	-69	3
