Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
21	1847	0	54.9	11.3	-39	-90	-12	5.15	-75.1	-12.5	76.2	-6	-90	-12	24.8
20	558	1.47e-24	23.8	7.99	36	-45	48	38.3	-51.8	47.7	73.2	42	-57	57	24.3
19	443	6.31e-21	20.2	7.63	-27	-69	33	-39.9	-54.2	46.1	58.1	-42	-54	60	20.1
18	214	1.56e-12	11.8	5.63	39	36	12	40.4	46.7	5.54	35.8	36	63	3	21.5
17	177	6.18e-11	10.2	5.45	0	39	30	2.33	30.9	31.9	45.4	0	39	30	24
16	155	6.23e-10	9.21	6.9	-42	3	30	-39.4	3.07	34.6	54.3	-42	6	30	22.5
15	151	9.59e-10	9.02	7.3	42	0	63	32.4	6.23	62.2	49.4	36	0	63	20.2
14	134	6.27e-09	8.2	6.08	45	3	36	47.3	6.31	27.8	42.4	45	3	36	22.9
13	124	1.96e-08	7.71	5.83	15	-72	-48	14.5	-65.7	-46.8	20.5	9	-60	-51	14.2
12	99	4.17e-07	6.38	4.78	54	-27	-21	61.8	-32	-9.6	31.4	63	-36	0	18
11	94	7.15e-07	6.15	6.16	-33	18	9	-31.6	21.6	2.8	37.9	-33	18	9	19.7
10	77	6.85e-06	5.16	5.09	-54	-30	-6	-58.7	-29.9	-7.62	21.6	-54	-30	-6	14
9	72	1.36e-05	4.87	5.47	-21	6	66	-6.31	8.65	56.9	32.5	3	12	48	16.5
8	59	8.76e-05	4.06	5.71	36	18	3	34.7	21	2.75	34.1	36	21	3	22.6
7	54	0.000186	3.73	4.91	3	-33	24	1.16	-22.5	27.2	29.6	0	-30	27	19.7
6	43	0.00106	2.97	4.52	-48	42	-9	-42.4	46.2	-3.82	31.2	-51	42	-9	19
5	36	0.00347	2.46	4.9	-15	-18	-12	-12.1	-19.9	-14.9	39.4	-18	-24	-21	20.8
4	25	0.0262	1.58	5.69	-12	12	18	-10.4	10.1	17.5	32	-9	9	18	21.6
3	25	0.0262	1.58	4.69	-42	27	27	-42.7	27.5	26.5	22.1	-48	27	24	17.1
2	24	0.0319	1.5	4.7	39	39	39	40.4	37.6	35	23.4	39	39	39	17.4
1	23	0.0389	1.41	5.4	-42	-66	12	-43.5	-66.5	10.1	22	-42	-66	9	14.5
