Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
16	295	8.1e-20	19.1	8.21	30	-60	-6	27.7	-52.1	-12.3	148	27	-60	-9	74
15	256	6.29e-18	17.2	8.3	-30	-57	-9	-34.9	-58.2	-8.14	157	-27	-60	-9	67.1
14	90	2.32e-08	7.63	5.16	39	-75	9	37.6	-79.7	12.4	68.6	33	-84	21	50.1
13	82	5.96e-08	7.22	5.77	48	-75	-12	48.1	-68.9	-10.3	90.1	48	-75	-12	57.9
12	81	1.19e-07	6.92	4.66	39	-6	0	36.5	-7.67	1.77	91.2	42	-9	-9	55.6
11	47	5.05e-05	4.3	5.31	-21	-69	45	-20.5	-69.5	45	78.2	-24	-69	45	49
10	38	0.000328	3.48	4.87	0	15	33	-0.882	10.8	33.8	97.7	0	15	33	70.2
9	35	0.000633	3.2	4.23	-42	-15	-3	-37.7	-9.25	-1.88	95.5	-42	-15	-3	60.3
8	35	0.000633	3.2	4.23	9	-48	36	8.26	-48.6	33.8	83.4	9	-48	36	66.1
7	31	0.00156	2.81	4.26	-3	-96	-6	-6.06	-99.6	0.37	84.6	-3	-102	6	62.4
6	29	0.0025	2.6	4.49	-18	63	-12	-16	63.1	-9.07	125	-6	63	-9	88.8
5	25	0.00656	2.18	4.36	51	-27	27	55.1	-27	28.9	79.2	51	-30	27	54
4	22	0.014	1.85	4.79	18	63	15	18.3	63.8	16.9	91	18	66	18	69.5
3	20	0.0235	1.63	4.67	-30	-33	-24	-29.5	-35.4	-22.7	88.4	-30	-33	-24	61
2	20	0.0235	1.63	4.76	-51	-15	18	-53.3	-12.6	16.7	78.7	-54	-12	15	54.3
1	18	0.0402	1.4	3.93	-57	-36	39	-56.8	-35.9	38.9	52.5	-51	-30	39	41.8
