Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
11	1019	2.58e-17	16.6	5.68	63	-60	24	43.6	-36.1	53.7	303	45	-33	63	78.8
10	602	9.77e-12	11	5.39	57	-24	-21	52.7	-8.58	-27.7	171	36	18	-42	59.2
9	331	2.38e-07	6.62	5.66	21	54	30	10	54.5	12.1	208	-3	63	12	104
8	320	3.58e-07	6.45	4.26	-42	-27	45	-40.1	-27.7	65	284	-21	-24	78	89
7	304	7.15e-07	6.15	5.56	-66	-57	33	-56.1	-53.1	38.7	150	-57	-60	39	64.3
6	152	0.000913	3.04	4.19	21	9	57	9.52	12.4	61.7	136	18	15	66	62.9
5	144	0.00141	2.85	5.18	45	51	-3	41.4	53.4	-1.25	175	39	60	-12	98.2
4	133	0.00258	2.59	4.63	-54	0	-39	-49.2	4.32	-34.6	205	-42	15	-42	78.2
3	122	0.00482	2.32	4.75	-12	24	-21	-3.7	24.7	-20.9	216	3	18	-15	99.6
2	105	0.0131	1.88	3.84	57	12	33	53.8	15.6	17	128	57	12	33	71.6
1	101	0.0167	1.78	4.78	-69	-24	-9	-62.6	-26.7	-13.5	81.8	-66	-21	-6	41
