Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
10	1735	7.34e-25	24.1	6.95	22	37	44	26	39.3	44.2	277	24	35	51	83
9	826	1.45e-14	13.8	5.31	30	46	25	30.8	42.8	26.8	399	30	46	27	105
8	535	1.6e-10	9.8	5.33	33	23	20	33.6	23.1	18.2	301	32	28	26	67.8
7	496	6.26e-10	9.2	6.4	22	21	37	23	22.3	39.5	288	25	20	43	88.5
6	488	8.32e-10	9.08	7.18	24	12	26	19.5	16.9	23.6	192	23	12	26	82.1
5	332	2.98e-07	6.53	5.53	41	22	40	40.1	22.4	40.6	256	40	20	46	83.9
4	280	2.68e-06	5.57	4.74	15	44	39	16.5	45.4	33.7	200	17	45	38	82.6
3	232	2.22e-05	4.65	5.29	41	12	26	41.6	13.9	25.7	163	43	13	24	82.1
2	130	0.00359	2.44	4.5	47	47	33	47.3	46.1	31.8	137	48	47	25	73.8
1	91	0.0347	1.46	4.64	45	44	44	44.9	43.5	44.5	129	45	47	46	72.2
