Cluster Index	Z	x	y	z	
6	4.32	25	24	51
6	4.03	32	38	49
6	3.87	36	12	37
6	3.85	39	19	48
6	3.83	31	57	35
6	3.8	21	25	47
5	3.89	35	22	17
5	3.87	48	28	24
5	3.8	47	17	25
5	3.68	33	19	17
5	3.64	48	26	15
5	3.64	42	17	17
4	3.82	26	45	34
4	3.79	26	39	29
4	3.59	41	36	29
4	3.42	39	33	29
4	3.36	35	43	29
4	3.32	30	42	29
3	5.09	31	32	33
3	4.97	32	35	34
3	3.36	35	38	34
3	3.32	32	29	30
3	3.14	39	46	34
3	3.12	31	38	36
2	4.78	29	51	24
2	3.6	36	52	30
2	2.87	34	49	25
1	3.49	38	32	12
1	3.4	42	30	12
1	3.18	37	27	12
1	3.13	34	27	12
1	2.89	33	23	12
1	2.78	29	21	12
