Cluster Index	Z	x	y	z	
9	5.37	9	-90	-42
9	5.26	27	-69	-30
9	4.79	36	-54	-33
9	4.75	6	-93	-30
9	4.19	42	-87	-30
9	4.01	33	-75	-54
8	5.24	-15	24	15
8	5.16	-9	6	18
8	4.11	-21	6	9
8	3.85	-24	0	12
8	3.73	0	-12	6
8	3.58	-12	-3	9
7	4.33	-30	18	15
7	4.11	-30	27	6
7	4.06	-45	21	9
7	3.94	-39	9	15
7	3.62	-36	33	3
7	3.51	-54	33	6
6	5.83	-12	-63	33
5	6.33	21	33	-21
5	5.87	30	48	-24
5	5.21	27	39	-27
5	4.19	24	21	-24
5	3.43	24	3	-24
5	3.29	30	9	-24
4	6.43	-30	42	-27
4	4.79	-24	30	-27
4	4.61	-33	33	-24
4	4.27	-33	42	-9
4	3.95	-18	36	-21
4	3.88	-45	48	-9
3	4.72	18	-3	21
3	4.19	18	12	15
3	3.07	3	6	21
3	3.01	24	6	9
3	2.99	3	0	21
3	2.91	21	12	3
2	4.38	-48	15	42
2	3.19	-36	0	51
2	3.16	-39	6	42
2	3.15	-45	6	51
2	2.94	-33	9	36
2	2.73	-48	3	45
1	5.84	-15	9	63
1	3.69	-24	12	57
