Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
8	11811	0	174	8.37	29	14	21	30.9	32.6	28.8	508	39	19	43	88.4
7	446	6.39e-19	18.2	5.8	34	36	53	31.5	35.2	47.3	166	33	33	51	60.2
6	74	4.2e-05	4.38	4.96	40	63	25	42.1	63.7	26.9	219	42	66	28	93.9
5	72	5.38e-05	4.27	4.66	30	42	36	31.7	42.4	35.9	71.6	30	42	36	54.8
4	60	0.000253	3.6	5.7	43	35	15	47.1	38	15.8	84	43	35	15	45.3
3	42	0.00317	2.5	4.48	41	51	17	42.4	52.3	17.8	94.4	45	52	17	64.5
2	36	0.00795	2.1	4.23	46	24	11	45.8	25	11.2	58.9	46	24	11	45.8
1	29	0.0247	1.61	5.13	40	41	33	38.5	42.4	32.6	104	37	45	32	64.5
