Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
10	701	8.38e-13	12.1	4.56	18	25	22	22.6	20.7	23.8	328	27	26	26	146
9	301	1.25e-06	5.9	4.3	20	27	41	24.4	24.4	41.5	270	22	21	43	115
8	288	2.15e-06	5.67	4.68	29	19	12	35.6	18.2	18.9	331	31	22	10	116
7	185	0.000222	3.65	4.69	35	47	43	32.4	46.3	43.7	274	31	46	45	115
6	160	0.000776	3.11	4.63	43	26	40	42	28.4	39	209	43	28	40	101
5	128	0.00424	2.37	3.48	17	34	44	18.1	35.7	45.2	232	18	37	48	114
4	103	0.0176	1.75	3.59	44	16	34	42.8	17.9	34.6	203	43	18	33	112
3	91	0.0361	1.44	4.75	45	54	35	45.6	53.9	34.6	278	45	54	35	143
2	87	0.0461	1.34	3.42	40	20	45	38.7	19.3	43.6	231	35	18	46	138
1	86	0.049	1.31	4.97	43	43	43	43.8	42.9	43.5	227	44	43	43	107
