Cluster Index	Z	x	y	z	
8	5.32	22	20	39
8	5.14	21	20	43
8	4.23	20	26	41
8	4.23	22	22	36
8	4.21	20	22	46
8	3.88	12	32	38
7	4.49	41	13	22
7	3.88	34	17	22
7	3.87	37	17	20
7	3.51	37	11	22
7	3.4	33	14	24
7	3.34	45	16	24
6	4.21	22	43	44
6	4.15	25	44	49
6	3.83	28	43	52
6	3.78	30	42	52
6	3.24	21	37	48
6	3.19	22	42	40
5	4.58	20	22	23
5	3.73	22	13	24
5	3.49	27	12	21
5	3.48	22	14	21
5	3.47	22	12	22
5	3.15	21	18	24
4	4.6	16	55	33
4	3.46	18	55	41
4	3.29	17	55	38
4	2.95	14	52	36
4	2.78	20	58	32
4	2.38	18	51	32
3	3.79	44	21	16
3	3.65	47	22	16
3	3.21	46	26	20
3	3.14	44	23	18
3	3.02	44	25	20
3	3.02	41	22	16
2	4.29	47	56	31
2	4.04	47	56	36
2	3.27	43	54	37
1	5.11	15	26	20
1	3.26	19	31	20
1	2.74	22	30	20
