Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
8	398	2.64e-08	7.58	5.32	22	20	39	20	23.8	40.9	569	20	21	44	200
7	289	2.03e-06	5.69	4.49	41	13	22	38.8	13.9	23.3	430	33	15	26	180
6	226	3.21e-05	4.49	4.21	22	43	44	24.9	42.6	48	342	28	43	52	141
5	208	7.39e-05	4.13	4.58	20	22	23	23	14	23.3	419	21	12	25	184
4	152	0.00117	2.93	4.6	16	55	33	17	55.1	34.6	323	17	55	33	157
3	148	0.00145	2.84	3.79	44	21	16	44	22.9	17.4	368	44	23	18	144
2	110	0.0117	1.93	4.29	47	56	31	45.8	55.6	33.7	302	46	57	36	150
1	89	0.0408	1.39	5.11	15	26	20	15.9	27.2	20.5	365	16	27	20	195
