Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
11	3680	9.25e-44	43	6.14	-66	-54	18	-30	12.2	7.82	296	0	60	15	73.8
10	2325	8.18e-32	31.1	5.88	57	-9	-12	49.4	-9.76	-3.41	267	51	21	-6	70.1
9	1012	1.28e-17	16.9	5.54	21	-51	18	-1.49	-56.4	29.4	245	0	-75	36	86.7
8	467	6.68e-10	9.18	5.86	-12	-33	69	9.84	-25.4	58.8	97.6	0	-21	63	49.2
7	294	7.15e-07	6.15	4.87	15	12	60	6.12	12.6	57.7	144	3	18	63	63.8
6	252	4.83e-06	5.32	5.01	-33	-84	-36	-24.8	-84.7	-34.2	82.8	-33	-84	-36	42.8
5	191	9.14e-05	4.04	5.94	-36	-30	-30	-29.9	-27.1	-22.5	213	-27	-30	-21	84.5
4	177	0.000187	3.73	4.66	12	-81	-42	25.2	-79.7	-33.7	78.6	12	-81	-42	40.5
3	171	0.000256	3.59	4.68	27	9	0	14.2	7.89	5.98	180	0	6	12	79.6
2	116	0.00552	2.26	5.28	-42	-51	-57	-46.3	-55.4	-49.2	130	-48	-75	-51	47.9
1	99	0.0156	1.81	5.46	51	-63	-42	44.9	-51.2	-43.9	101	51	-57	-45	43.6
