onsets	durations	trial_type
4.011659	2.010400	AntSmLoss
10.040930	2.010200	AntNeu
20.870270	4.010700	AntLgLoss
30.498300	3.010400	AntLgLoss
38.969030	4.012500	AntLgGain
55.805410	3.009700	AntLgGain
63.035060	2.009900	AntLgGain
70.263830	4.010000	AntLgLoss
77.289980	4.009700	AntNeu
88.116850	4.009800	AntSmLoss
97.749570	4.010200	AntSmGain
108.576700	3.009600	AntSmLoss
114.602100	4.010700	AntSmLoss
126.629700	3.009300	AntLgGain
132.655000	2.009700	AntLgGain
144.681400	3.009900	AntSmGain
150.706500	3.009800	AntLgLoss
157.931900	3.009900	AntSmLoss
163.957200	4.009800	AntLgLoss
173.582300	2.009400	AntNeu
180.806800	3.011100	AntLgLoss
191.633200	4.010000	AntNeu
201.258900	4.010400	AntLgGain
210.884800	4.009700	AntSmGain
218.109200	2.009700	AntNeu
226.534100	3.009700	AntLgGain
234.959400	2.009600	AntSmLoss
243.384500	2.009900	AntSmLoss
257.810500	3.010300	AntNeu
265.040300	4.010200	AntSmGain
272.067000	2.009600	AntLgGain
279.291300	2.009600	AntLgGain
285.316900	4.009600	AntLgLoss
292.342200	4.010100	AntNeu
301.968000	3.010300	AntSmGain
310.394100	3.010000	AntSmGain
323.620600	2.009700	AntSmGain
330.846200	2.009700	AntLgLoss
338.071100	4.009900	AntLgLoss
345.095200	3.009400	AntLgGain
351.119500	2.009400	AntNeu
361.944600	4.009700	AntNeu
368.969200	3.009500	AntSmGain
379.794700	3.009600	AntLgLoss
395.420500	2.009700	AntSmLoss
402.645600	3.009700	AntSmGain
418.271700	2.009800	AntSmGain
427.897200	2.009200	AntSmLoss
435.121700	4.009500	AntNeu
443.546500	2.009200	AntSmLoss
7.022093	1.000000	ConMiss
13.051160	1.000000	ConHit
25.880990	1.000000	ConMiss
34.508730	1.000000	ConMiss
43.981550	1.000000	ConMiss
59.815100	1.000000	ConMiss
66.044980	1.000000	ConHit
75.273860	1.000000	ConHit
82.299690	1.000000	ConMiss
93.126680	1.000000	ConHit
102.759800	1.000000	ConMiss
112.586300	1.000000	ConHit
119.612800	1.000000	ConHit
130.639000	1.000000	ConHit
135.664700	1.000000	ConHit
148.691300	1.000000	ConHit
154.716200	1.000000	ConHit
161.941900	1.000000	ConHit
168.967000	1.000000	ConHit
176.591700	1.000000	ConHit
184.817800	1.000000	ConMiss
196.643200	1.000000	ConHit
206.269300	1.000000	ConHit
215.894500	1.000000	ConHit
221.118900	1.000000	ConHit
230.543900	1.000000	ConHit
237.969000	1.000000	ConMiss
246.394400	1.000000	ConHit
261.820900	1.000000	ConMiss
270.050600	1.000000	ConMiss
275.076600	1.000000	ConMiss
282.300900	1.000000	ConHit
290.326500	1.000000	ConHit
297.352300	1.000000	ConMiss
305.978300	1.000000	ConHit
314.404200	1.000000	ConHit
326.630300	1.000000	ConMiss
333.855900	1.000000	ConHit
343.081000	1.000000	ConMiss
349.104500	1.000000	ConHit
354.128900	1.000000	ConHit
366.954300	1.000000	ConHit
372.978700	1.000000	ConMiss
383.804200	1.000000	ConHit
398.430200	1.000000	ConMiss
406.655300	1.000000	ConHit
421.281500	1.000000	ConHit
430.906400	1.000000	ConHit
440.131200	1.000000	ConHit
446.555700	1.000000	ConMiss
