Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
11	5403	0	60.8	9.66	12	-81	-18	-8.45	-66.7	-7.24	211	-66	-39	0	44.9
10	2000	6.08e-31	30.2	6.11	-45	27	-27	-7.52	15.9	9.65	220	-3	12	3	45.9
9	326	5.96e-08	7.22	5.4	54	51	6	46	48.9	14.7	97	42	60	-3	41.4
8	190	3.5e-05	4.46	7.17	30	-66	33	28.7	-63.9	42.4	69.2	24	-69	60	29.9
7	144	0.000486	3.31	4.59	45	15	-27	49.1	15.2	-26.3	96.7	36	15	-24	41.3
6	138	0.000698	3.16	5.88	-33	-6	51	-31.1	-5.08	52.2	43.4	-27	-6	54	24.5
5	123	0.00177	2.75	5.89	-39	9	27	-41.2	5.86	30.1	87.3	-45	3	36	36.1
4	102	0.00694	2.16	5.59	39	6	33	39.7	8.81	30.9	52.3	39	6	33	31.7
3	102	0.00694	2.16	4.2	48	15	-3	42.8	19.5	-2.92	111	51	21	0	52
2	101	0.00743	2.13	4.65	-30	69	-3	-24.3	64.6	-8.8	117	-30	66	-9	47.4
1	88	0.0181	1.74	4.61	75	-15	9	70	-14.2	-6.06	61.8	69	-21	6	33.9
