Cluster Index	Z	x	y	z	
20	7.8	48	57	23
20	6.87	47	44	44
20	6.71	40	60	22
20	6.64	41	58	22
20	6.6	46	60	26
20	6.54	49	48	41
19	7.2	55	33	25
19	6.92	52	24	23
19	6.86	46	25	45
19	6.44	49	26	37
19	6.43	43	20	46
19	6.33	43	22	46
18	6.41	33	50	42
18	5.68	33	57	39
18	5.62	33	55	40
18	5.47	34	53	38
18	5.3	34	63	42
18	4.51	36	57	42
17	5.16	18	25	45
17	5.09	16	26	42
17	4.98	20	21	42
17	4.74	24	19	46
17	4.72	14	24	39
17	4.5	18	29	48
16	5.46	19	15	14
16	5.29	18	24	12
16	5.2	17	25	8
16	4.93	21	17	10
16	4.65	21	25	13
16	4.64	15	23	13
15	5.69	16	60	24
15	5.68	16	58	27
15	5.39	16	56	23
15	4.03	13	51	25
15	3.26	16	64	23
14	5.24	8	31	25
14	5.17	10	27	24
14	4.79	12	21	23
14	4.54	11	23	23
14	3.99	9	31	29
14	3.84	10	25	28
13	5.15	21	41	18
13	4.97	21	41	14
13	3.81	18	38	15
13	3.8	20	36	18
13	3.27	21	35	15
12	4.37	26	16	18
12	4.37	29	17	19
12	4.14	30	15	14
12	3.66	32	18	21
12	3.36	32	15	14
11	5.82	38	51	44
11	4.29	41	50	47
10	5.85	34	36	54
9	5.17	24	59	20
9	3.44	29	58	18
8	4.45	13	32	20
8	3.95	12	35	24
7	5.38	35	36	14
7	4.44	34	36	17
7	3.36	38	35	16
6	5.26	40	42	14
6	3.67	41	42	17
6	3.38	43	39	17
5	4.53	33	17	43
5	3.86	33	20	41
4	4.19	16	55	36
4	3.68	16	53	39
3	4.49	18	44	46
2	4.38	23	51	18
2	3.9	27	53	19
2	3.37	24	54	19
2	3.26	28	55	17
1	4.24	16	45	13
1	3.6	13	44	13
