onsets	durations	trial_type
4.010176	4.011100	AntSmLoss
11.043360	4.011400	AntNeu
20.675330	3.010600	AntLgLoss
27.902340	2.011000	AntLgLoss
36.330920	3.010700	AntLgGain
44.757650	2.010200	AntLgGain
50.784390	3.010000	AntLgGain
56.810360	4.010300	AntLgLoss
64.036700	4.010200	AntNeu
72.463970	4.010200	AntSmLoss
86.890640	3.010400	AntSmGain
95.316950	3.010300	AntSmLoss
104.943400	4.011000	AntSmLoss
118.170700	2.010400	AntLgGain
125.397300	3.010500	AntLgGain
142.224300	3.010800	AntSmGain
148.250600	2.009800	AntLgLoss
154.277400	4.010300	AntSmLoss
161.503900	4.010300	AntLgLoss
168.729900	2.010400	AntNeu
183.158000	3.010800	AntLgLoss
190.384500	2.010600	AntNeu
197.611200	2.011100	AntLgGain
212.041500	2.011200	AntSmGain
221.670000	3.010900	AntNeu
238.497500	4.010100	AntLgGain
245.723000	4.010100	AntSmLoss
252.948600	2.010200	AntSmLoss
258.974800	2.010300	AntNeu
267.401100	3.010700	AntSmGain
274.627300	2.010500	AntLgGain
280.653000	2.010100	AntLgGain
298.680500	4.010400	AntLgLoss
305.706700	4.010500	AntNeu
318.933600	2.009800	AntSmGain
324.960700	2.010600	AntSmGain
334.587900	2.009900	AntSmGain
341.814100	3.009900	AntLgLoss
351.439900	4.011000	AntLgLoss
358.467200	4.011000	AntLgGain
372.894800	3.010100	AntNeu
384.920700	3.010300	AntNeu
392.146400	3.010300	AntSmGain
400.573800	4.010700	AntLgLoss
409.000100	3.010200	AntSmLoss
416.225600	2.009700	AntSmGain
422.251000	3.010200	AntSmGain
433.077900	4.009700	AntSmLoss
440.103200	2.010100	AntNeu
450.929200	4.010600	AntSmLoss
9.021318	1.000000	ConHit
16.054720	1.000000	ConMiss
24.685960	1.000000	ConHit
30.913320	1.000000	ConHit
40.341660	1.000000	ConHit
47.767900	1.000000	ConHit
54.794440	1.000000	ConHit
61.820620	1.000000	ConHit
69.046940	1.000000	ConHit
77.474140	1.000000	ConHit
90.901040	1.000000	ConHit
99.327240	1.000000	ConHit
109.954500	1.000000	ConMiss
121.181100	1.000000	ConMiss
129.407900	1.000000	ConHit
146.235100	1.000000	ConHit
151.260400	1.000000	ConHit
159.287700	1.000000	ConMiss
166.514200	1.000000	ConHit
171.740300	1.000000	ConMiss
187.168800	1.000000	ConMiss
193.395000	1.000000	ConHit
200.622200	1.000000	ConHit
215.052700	1.000000	ConHit
225.680900	1.000000	ConHit
243.507700	1.000000	ConHit
250.733100	1.000000	ConMiss
255.958800	1.000000	ConHit
261.985200	1.000000	ConMiss
271.411800	1.000000	ConHit
277.637800	1.000000	ConMiss
283.663100	1.000000	ConMiss
303.690900	1.000000	ConHit
310.717200	1.000000	ConHit
321.943400	1.000000	ConHit
327.971300	1.000000	ConHit
337.597800	1.000000	ConHit
345.824000	1.000000	ConMiss
356.450900	1.000000	ConHit
363.478100	1.000000	ConHit
376.904900	1.000000	ConHit
388.931000	1.000000	ConMiss
396.156600	1.000000	ConHit
405.584500	1.000000	ConHit
413.010200	1.000000	ConHit
419.235300	1.000000	ConHit
426.261200	1.000000	ConHit
438.087500	1.000000	ConHit
443.113300	1.000000	ConHit
455.939800	1.000000	ConHit
