Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
14	836	2.73e-33	32.6	5.87	-15	-63	6	-7.91	-67	1.48	303	0	-75	0	89.1
13	186	1.31e-11	10.9	5.13	45	-75	-15	47.3	-70.7	-7.58	131	48	-69	-3	66.5
12	145	1.1e-09	8.96	4.87	-27	-30	63	-35.4	-27	63.8	115	-24	-27	78	50
11	72	1.03e-05	4.99	4.54	51	-33	45	49.7	-33.8	49.2	115	54	-27	54	57.5
10	70	1.38e-05	4.86	5.6	6	30	57	4.66	26.3	58.1	89.3	9	21	66	55.5
9	63	3.83e-05	4.42	4.68	0	-15	69	0.016	-15.8	59.6	122	3	-12	75	72.6
8	43	0.000905	3.04	4.78	0	-9	33	1.83	-8.49	34.8	74.7	0	-9	33	51.9
7	40	0.00151	2.82	4.13	39	6	30	42.1	9.16	29	93.7	39	6	30	66.8
6	37	0.00256	2.59	4.67	45	-57	15	45	-56.7	12.4	91.4	45	-60	15	60.1
5	35	0.00366	2.44	4.73	24	-63	51	25.8	-59.7	50.1	78.6	27	-54	51	52.3
4	33	0.00527	2.28	5.36	30	-72	24	30.9	-72.5	23.8	74.5	30	-72	24	44.3
3	33	0.00527	2.28	4.9	45	-3	48	41.5	-2.85	47.2	64.7	45	-3	48	41.4
2	28	0.0136	1.87	4.24	-57	-57	33	-57.7	-58.6	34.2	93	-57	-60	39	58
1	25	0.0245	1.61	4.42	-15	-24	6	-14.2	-19.7	5.62	83	-12	-18	6	59.7
