Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
10	141	2.88e-12	11.5	5.31	54	-63	9	42.3	-64.5	14	124	54	-63	9	69.9
9	51	1.2e-05	4.92	4.86	57	27	15	56.9	20.8	17.6	118	60	15	15	79.6
8	32	0.000799	3.1	4.42	-51	-75	21	-50.1	-75.7	21.5	86.1	-48	-78	21	58.7
7	26	0.00354	2.45	3.69	3	-84	9	-2.22	-86.2	5.72	85	0	-84	6	67.7
6	25	0.00458	2.34	4.16	-27	-54	51	-27.9	-57.2	53.6	92.1	-33	-57	54	65.7
5	23	0.00776	2.11	5.6	-51	9	12	-50.7	8.47	12.7	134	-51	9	12	82.4
4	23	0.00776	2.11	5.06	-30	-90	-9	-32	-90.9	-8.6	88	-30	-90	-9	59.7
3	20	0.0176	1.76	4.41	-60	24	6	-57.8	26.3	4.36	104	-54	30	3	69.3
2	19	0.0233	1.63	5.11	-39	-45	-21	-42.5	-43.7	-21.3	98.1	-39	-45	-21	69
1	18	0.0309	1.51	3.89	-39	-3	54	-37.7	-3.96	52.9	74.3	-36	0	63	52.9
