Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
9	74	5.96e-08	7.22	5.38	51	-63	9	48.4	-62.5	10.7	117	54	-63	9	70.1
8	51	4.95e-06	5.31	4.62	36	-45	36	41.7	-41.4	45	116	48	-33	60	60.5
7	34	0.000257	3.59	4.29	6	15	45	3.47	10.5	55.3	85.1	0	12	60	66.1
6	33	0.000331	3.48	4.58	60	18	24	58	22	19.2	104	60	15	18	68.9
5	33	0.000331	3.48	5.3	42	3	54	43	0.382	55.6	87.8	42	0	57	64
4	31	0.000551	3.26	4.62	-45	-42	48	-45.3	-44.7	45.9	80.6	-45	-42	48	60.8
3	22	0.00636	2.2	4.07	-54	30	3	-51.2	30.2	5.41	108	-54	30	3	67.7
2	20	0.0114	1.94	4.42	0	-54	-63	-0.0784	-54.3	-63.5	294	0	-54	-63	171
1	17	0.0284	1.55	4.86	-27	12	-18	-29.2	15.8	-12.9	112	-27	12	-18	76.1
