Cluster Index	Z	x	y	z	
12	6.24	27	-66	-6
12	5.72	30	-51	-21
12	4.87	27	-51	-9
12	4.64	33	-60	-21
12	4.44	33	-39	-9
12	4.13	33	-33	-18
11	7.69	-30	-60	-9
10	6.15	51	-72	-9
10	5.06	51	-54	-18
10	4.36	45	-66	-9
10	3.86	48	-57	-9
9	4.46	45	-18	0
9	4.36	33	-9	9
9	4.1	42	-9	-9
9	3.61	39	-6	0
9	3.55	33	0	3
8	4.16	-3	-96	-6
8	4.04	-12	-105	3
8	3.59	-3	-99	3
8	3.22	-21	-96	15
8	3.22	-15	-99	12
7	4.74	-48	-51	-12
7	4.52	-45	-57	-12
6	4.57	36	-81	15
5	4	-3	15	33
5	3.88	-3	9	36
5	3.28	-3	-3	39
4	4.89	-18	63	-12
4	4.08	-6	66	-9
3	5.09	-21	-72	45
2	3.52	54	-9	15
2	3.45	60	-9	12
2	3.41	63	-18	12
1	5.32	-30	-33	-24
1	3.88	-30	-45	-24
